"1","吉月","621408196911078786","","13503717151","甘肃省天水市张家川回族自治县","","","","包虫病","2017-10-23","2017-10-26","","甘君","2017-10-29"
"2","童飞","461202198903293747","","13803880768","海南省三亚市市辖区","","","","急性出血性结膜炎","2018-05-28","2018-06-05","","谭冠","2018-06-07"
"3","潘妹雁","370918198804255080","","13907907243","山东省泰安市郊区","","","","流行性和地方性斑疹伤寒","2018-05-07","2018-05-13","","凌杰仁","2018-05-17"
"4","汪卿雅","650126197911241865","","13107766183","新疆维吾尔族自治区乌鲁木齐市乌鲁木齐县","","","","丝虫病","2018-03-29","2018-04-01","","史峰","2018-04-03"
"5","王雁","140726199105236503","","15307946234","山西省晋城市怀仁县","","","","丝虫病","2017-08-08","2017-08-12","","韩士","2017-08-14"
"6","尤伯","451621198806082258","","13107132916","广西壮族自治区玉林市北流市","","","","风疹","2017-08-25","2017-08-31","","柏艳姬","2017-09-02"
"7","庞可","621804198412067695","","15904922924","甘肃省天水市张家川回族自治县","","","","丝虫病","2018-03-01","2018-03-04","","米祥毅","2018-03-08"
"8","成浩","320613199705186105","","13008567543","江苏省南通市港闸区","","","","黑热病","2017-12-01","2017-12-08","","郑颖娅","2017-12-10"
"9","贝林裕","511805198207155838","","13303165554","四川省广安市华蓥市","","","","包虫病","2017-09-20","2017-09-27","","龚莲雅","2017-09-29"
"10","苏震贵","431511197202093060","","15001377582","湖南省怀化市洪江市","","","","急性出血性结膜炎","2017-08-16","2017-08-19","","胡馨仪","2017-08-22"
"11","蒋朋元","611109199508141997","","13607898066","陕西省汉中市佛坪县","","","","流行性感冒","2017-10-31","2017-11-02","","胡香","2017-11-04"
"12","狄天若","211615197801267045","","15700036336","辽宁省葫芦岛市兴城市","","","","风疹","2017-10-11","2017-10-19","","贾固杰","2017-10-23"
"13","韩纨","220422198302126736","","15208743912","吉林省辽源市东辽县","","","","除副伤寒以外的感染性腹泻病","2017-09-27","2017-10-03","","高福","2017-10-06"
"14","崔泽","421515197005161928","","13704270753","湖北省咸宁市通山县","","","","风疹","2018-06-07","2018-06-10","","邓功","2018-06-12"
