"1","叶妍岚","421413198205267666","上海市亚运村北苑路安慧里四区15号楼","依法请求国家赔偿的","13506844926","马枝影"
"2","安茂","111008199005195176","黑龙江省齐齐哈尔市文慧园西路内100米","自诉案件的自诉人及其法定代理人因经济困难没有委托诉讼代理人","13604067309","袁瑶"
"3","段宜","510711197205293521","海南省三亚市吕家营餐饮街30号","因家庭暴力、虐待、重婚等，受害人要求离婚及人身损害赔偿案件","13600781748","吕海"
"4","邢绍","341121199601237207","吉林省白山市东四北大街甲82-1号","公诉案件中被害人及其法定代理人因经济困难没有委托诉讼代理人的","15700821531","霍凡芸"
"5","梁坚子","341525199207083693","上海市塔营北街北双桥村村委会西行10米","公诉案件中被害人及其法定代理人因经济困难没有委托诉讼代理人的","15206153474","华桂叶"
"6","武妹秀","320418197105016467","重庆市农业大学西校区","自诉案件的自诉人及其法定代理人因经济困难没有委托诉讼代理人","15207938320","魏浩致"
"7","任姬","410628198206304925","重庆市大屯路华夏良子向东路口右转","公诉案件中被害人及其法定代理人因经济困难没有委托诉讼代理人的","15302296745","计思波"
"8","蒋峰","431710197901012886","吉林省辽源市毛纺西小区旁","","15103020596","余思妍"
"9","雷璐","311709199805174004","上海市复兴路五棵松乐视体育生态中心内华熙live097商铺","","15104680527","林惠"
"10","米致榕","500422199804232967","上海市回龙观龙禧三街东亚上北北侧底商14-19","","13204700983","卓丽"
"11","喻炎朋","311223197304156927","福建省泉州市东四北大街甲82-1号","公诉案件中被害人及其法定代理人因经济困难没有委托诉讼代理人的","15007518972","邢承"
"12","韦群钧","221005199901046874","湖南省岳阳市北七家镇燕城苑南区","请求支付劳动报酬的","15107580793","纪钧"
"13","屈冰","411523199307063697","天津市万寿路君安写字楼","因家庭暴力、虐待、重婚等，受害人要求离婚及人身损害赔偿案件","13902073308","金富"
"14","石彩纨","461221199312114766","黑龙江省大庆市王府井大街277号平房30,31,32栋","请求给付赡养费、抚养费、扶养费的","13003388116","杨利"
"15","汤生宁","520602199012259254","湖北省宜昌市河荫中路3号","请求支付劳动报酬的","15305846765","莫琬"
"16","冯瑗琰","231410198612149590","贵州省六盘水市良乡镇北潞园小区","请求给予社会保险待遇或者最低生活保障待遇的","13003793063","陈荣燕"
"17","柯颖","430320197702067512","湖南省衡阳市百子湾后现代城门口环岛北50米","请求支付劳动报酬的","15102248963","潘希"
"18","史 ","360601197609218719","湖南省邵阳市国贸附近","因医疗事故、交通事故、工伤事故造成的人身损害赔偿案件","15104818350","项腾"
"19","段梁","611417198810128119","上海市崇文门外大街国瑞购物中心3F西南","因家庭暴力、虐待、重婚等，受害人要求离婚及人身损害赔偿案件","13700731877","姚绍武"
"20","姜亮","411203198407126410","广东省佛山市百子湾路16号","请求支付劳动报酬的","13101698529","陈岚"
"21","常致","610228197610122629","上海市回龙观新龙城北街北区15号龙虾33私房菜","请求给付赡养费、抚养费、扶养费的","15701197208","梁星"
"22","舒有山","311518199409056433","重庆市朝阳北路青年汇104号楼底商102","请求发给抚恤金、救济金的","13905373372","莫朋"
"23","吕亚","320523198901198414","天津市陆港城商业步行街内104-105号","请求给付赡养费、抚养费、扶养费的","15803052913","周露欢"
"24","潘姬可","231305197707294684","浙江省温州市河荫中路3号","主张因见义勇为行为产生的民事权益的","13406801276","常谦乐"
"25","夏羽翠","311803197505283155","北京市朝阳公园路好运街B12商铺","请求发给抚恤金、救济金的","13707605421","孔美娅"
"26","祝海","501507198804182671","天津市华远好天地商业中心37号楼3层301室","依法请求国家赔偿的","15700086869","章风"
"27","戚岩奇","411126199411081828","天津市西六环路永安社区东门旁","主张因见义勇为行为产生的民事权益的","15100228522","席斌"
"28","洪友","211110199304168834","吉林省四平市河荫中路3号","依法请求国家赔偿的","13901338699","狄爽韵"
"29","侯超朗","421121198905292086","重庆市回龙观西大街9号 东亚上北 北侧底商16-10","主张因见义勇为行为产生的民事权益的","13200335867","邬全家"
"30","徐梦","311121199211172071","山西省太原市建国路京通大厦附近","自诉案件的自诉人及其法定代理人因经济困难没有委托诉讼代理人","15203391728","汤毅义"
"31","霍枫雪","531522199205011799","重庆市吕家营餐饮街30号","","15307370787","林钧泰"
"32","窦馥","330911197804226268","海南省海口市昌崔路北邵洼地铁","","13405650492","严婕"
"33","韦宜","120323198407058151","上海市东直门内大街5号楼（6）","因医疗事故、交通事故、工伤事故造成的人身损害赔偿案件","15508296687","鲁翠"
"34","胡芝","360505199504141855","重庆市回龙观龙禧三街东亚上北北侧底商14-19","","13506171272","吕菲霞"
"35","项霄春","511317197102047908","上海市横七条龙隆昌大厦底商","公诉案件中被害人及其法定代理人因经济困难没有委托诉讼代理人的","15906457741","苏琦"
"36","尹子山","310120198009108987","天津市前孙公园胡同11号","请求发给抚恤金、救济金的","13100738531","邱雅玲"
"37","武志中","111121198101233879","河北省唐山市北洼西里48号宝联体育公园院内手抓龙虾","公诉案件中被害人及其法定代理人因经济困难没有委托诉讼代理人的","15600241199","姜博以"
