"严像造","天津天津市武清区大良镇
","17823217801","身份证","460035195008062336","豫D64147","中型车","出租客运旅游客运","他人赠与","进口宝马1系","LFV8B78B1778037","YC4J120-30","2012/12/1","辽宁省鞍山市公安局交警支队车辆管理所","2022/10/9","2012/5/20"
"严团诺","北京北京市门头沟区王平
","15525055049","身份证","231004195809011751","黑B42390","小型车","营转非","财产抵押","进口大众辉腾","LFV3A8GC5446434","YC6A180-31","2013/3/12","山东省莱芜市公安局交警支队车辆管理所","2022/4/18","2012/6/21"
"严提布","北京北京市昌平区马池口
","14729697240","身份证","542123196009222748","沪C95096","大型车","工程抢险","他人赠与","东风标致301","LFV7B7HC3009385","YC6A180-30","2011/8/14","河北省沧州市公安局交警支队车辆管理所","2021/7/3","2013/1/19"
"严游式","北京北京市海淀区清华园街道
","17667723707","身份证","513922199806122703","青A90704","小型车","营转非","他人赠与","上汽通用别克林荫大道","LFV9A1GB4596703","YC4A100-31","2005/5/12","青海省玉树藏族自治州公安局交警支队车辆管理所","2021/11/7","2018/12/26"
"乐心划","北京北京市东城区东四街道
","15766100694","身份证","532822197207242867","京D25430","中型车","公交客运","财产抵押","广汽本田锋范","LFV3A5DB4279793","YC6L120-30","2014/1/12","湖南省娄底市公安局交警支队车辆管理所","2021/11/6","2012/4/2"
"乐追啊","河北石家庄市深泽县留村乡
","15774963466","身份证","420111197808231253","渝N86073","小型车","化工","继承遗产","一汽大众捷达","LFV2A8CC3532103","YC4J120-33","2013/12/9","海南省三沙市公安局交警支队车辆管理所","2022/5/27","2012/2/20"
"于层由","河北石家庄市藁城市南董镇
","17681970794","身份证","142330196403252857","沪B86830","中型车","非营运","继承遗产","进口奥迪A1","LFV4B5DC5182745","YC4L180-30","2010/7/3","新疆维吾尔自治区巴音郭楞蒙古自治州公安局交警支队车辆管理所","2020/11/9","2010/2/25"
"云死存","河北石家庄市深泽县留村乡
","14750052530","身份证","513001196405221511","鲁F76825","小型车","出租转非","继承遗产","东风标致308","LFV4A2BA4874332","YC4M180-31","2012/9/18","辽宁省营口市公安局交警支队车辆管理所","2020/7/13","2012/10/29"
"任恋坦","北京北京市西城区广安门外街道
","14774254433","身份证","421182197903051142","渝M36160","中型车","出租转非","财产抵押","比亚迪G3","LFV3A1EB3553533","YC4J100-31","2006/3/7","山东省临沂市公安局交警支队车辆管理所","2022/6/20","2012/1/26"
"任本睡","河北石家庄市赞皇县土门乡
","14570533476","身份证","513430195401182497","新H36840","中型车","其他","继承遗产","比亚迪速锐","LFV5B7GA5385063","YC4M100-31","2007/12/3","宁夏回族自治区石嘴山市公安局交警支队车辆管理所","2022/12/27","2011/10/14"
"任编语","河北石家庄市元氏县槐阳镇
","18312463303","身份证","410803196708132516","鄂I88595","中型车","消防","他人赠与","东风本田艾力绅","LFV8B6BC2084777","YC6A120-33","2010/12/13","北京北京市公安局交警支队车辆管理所","2022/9/20","2006/8/1"
"伍克洗","天津天津市宁河县宁河县经济开发区
","14727221468","身份证","220601195406131485","青J20332","中型车","货运","继承遗产","一汽大众捷达","LFV4A2GA3628252","YC4A150-31","2017/1/11","湖北省咸宁市公安局交警支队车辆管理所","2020/12/6","2005/4/30"
"伍刻浪","北京北京市昌平区兴寿镇
","18759647241","身份证","320112196506072355","川A86576","小型车","租赁","继承遗产","一汽大众迈腾","LFV6C6DC2912401","YC4L120-33","2018/2/3","河北省邯郸市公安局交警支队车辆管理所","2021/3/13","2006/4/29"
"伍汽","天津天津市河东区向阳楼街道
","14777481589","身份证","130727199304071545","京B14773","小型车","其他","他人赠与","上海大众朗逸","LFV3A8AA4548636","YC4M120-33","2011/7/28","山西省晋城市公安局交警支队车辆管理所","2022/3/13","2016/7/27"
"伏碃密","天津天津市宁河县廉庄子乡
","15762703456","身份证","500237198412072915","辽D75340","大型车","教练","他人赠与","进口奥迪Q7","LFV3C5FC5239930","YC6L100-30","2015/8/9","天津天津市公安局交警支队车辆管理所","2022/8/1","2016/4/7"
"伏验船","河北石家庄市桥东区汇通街道
","18787097892","身份证","430721198305042903","桂N96846","中型车","救护","财产抵押","进口奥迪A4","LFV1A4JC2030936","YC6L120-31","2005/9/1","河北省张家口市公安局交警支队车辆管理所","2022/3/14","2014/9/30"
"何哪判","北京北京市西城区月坛街道
","13220552715","身份证","654324199504011743","鲁K84316","小型车","租赁","继承遗产","上汽通用别克凯越","LFV9A6HB5033376","YC6L180-30","2010/1/15","甘肃省平凉市公安局交警支队车辆管理所","2022/5/25","2018/2/10"
"何温干","北京北京市大兴区魏善庄镇
","13667323776","身份证","230121197910152241","沪J77758","中型车","警用","继承遗产","进口奥迪TT","LFV8C7BA3119237","YC4M150-33","2007/10/11","台湾嘉义县公安局交警支队车辆管理所","2021/1/15","2014/2/4"
"余归肉","河北石家庄市晋州市小樵镇
","17093181760","身份证","430181196102231515","苏D38321","中型车","其他","财产抵押","广汽本田奥德赛","LFV1B5BC3905960","YC6J150-33","2018/9/14","湖北省武汉市公安局交警支队车辆管理所","2020/9/5","2010/6/7"
"余果散","河北石家庄市井陉县南峪镇
","17294162521","身份证","34082419620108116X","渝M59174","中型车","租赁","财产抵押","东风标致307","LFV8B3AB1421100","YC4M100-30","2012/11/2","西藏自治区昌都地区公安局交警支队车辆管理所","2021/3/19","2010/9/27"
"俞客迹","北京北京市丰台区云岗街道
","13051680560","身份证","230501198411261605","琼A64523","小型车","其他","自己购买","东风本田思铂睿","LFV5B69A5739166","YC4A150-33","2008/1/30","江苏省宿迁市公安局交警支队车辆管理所","2021/12/28","2016/2/5"
"倪工里","河北石家庄市裕华区宋营镇
","15360277138","身份证","450302199607292091","黑C20602","中型车","教练","财产抵押","进口奥迪A8L","LFV6B19A2217083","YC4J180-30","2013/1/21","浙江省舟山市公安局交警支队车辆管理所","2020/4/4","2009/3/30"
"傅史历","河北石家庄市深泽县留村乡
","17375005959","身份证","211422196409171401","琼C32744","大型车","化工","自己购买","进口大众途锐","LFV9A49A1216556","YC4J180-33","2009/12/8","宁夏回族自治区固原市公安局交警支队车辆管理所","2020/1/10","2016/11/24"
"元人士","北京北京市昌平区天通苑北街道
","13837415884","身份证","500224199907212628","贵I21833","中型车","出租转非","继承遗产","华晨宝马X1","LFV4A6BB4902383","YC6J180-30","2014/3/3","河南省开封市公安局交警支队车辆管理所","2021/6/9","2007/6/1"
"元呢却","天津天津市宁河县芦台镇
","13910468859","身份证","441701197312102647","宁E18103","大型车","化工","他人赠与","广汽本田歌诗图","LFV6C1HB1954198","YC6J150-30","2009/2/2","山西省吕梁市公安局交警支队车辆管理所","2020/10/22","2016/7/12"
"元济","天津天津市河西区柳林街道
","18181639703","身份证","140401197104111532","津B16027","小型车","救护","继承遗产","比亚迪G5","LFV9C6FC2798956","YC4L150-31","2017/9/6","香港特别行政区九龙公安局交警支队车辆管理所","2021/11/8","2014/8/25"
"冯杀药","河北石家庄市栾城县冶河镇
","17847452686","身份证","42020319721027289X","赣M20954","小型车","货运","财产抵押","东风标致307","LFV5A4DC2831606","YC4A180-33","2007/11/28","海南省东方市公安局交警支队车辆管理所","2020/1/11","2006/6/3"
"凤五坚","天津天津市和平区劝业场街道
","17839665947","身份证","410327199711112222","桂N62199","中型车","公交客运","自己购买","东风标致2008","LFV9B1BB1876785","YC6J120-30","2006/8/29","宁夏回族自治区石嘴山市公安局交警支队车辆管理所","2022/8/15","2012/5/27"
