"庞朗伯","110204197512313645","检查发现","G071384424349","待处理","北京千圣房地产开发有限公司","暂扣或者吊销许可证、暂扣或者吊销执照","沿河景观路76-5号","东湖东路与宝丰二路十字路口","2019-05-23","粤Y·P1AFF","微卡","蓝色","超载","天津市交通部"
"花民","110227197510062978","有关部门移送","S089208511880","处理中","重庆亚泰庆计装饰工程有限责任公司","没收违法所得、没收非法财物","安翔路长空院内","丁字桥路与宝通寺路三叉路口","2019-06-17","青H·8MHFR","低速载货车","蓝色","超载","广西壮族自治区交通部"
"凤娣叶","110426198707288560","上级交办","B086339357004","处理中","沈阳瑞万百计装饰工程有限责任公司","罚款","海淀太平路十七号院门口","保望堤社区北二路与宝丰二路三叉路口","2019-04-24","桂K·O8KDR","重卡","黄色","超载","福建省交通部"
"孔承乐","111106199501078360","群众举报","G034653207508","处理中","深圳弘富房产经纪有限公司","罚款","广渠门外大街东三环双井桥西100米路南","东西湖大道与丁字桥路十字路口","2019-03-06","冀A·N63T5","面包车","蓝色","超速","山西省交通部"
"鲁平保","111108198403249579","上级交办","G091060958655","待处理","上海汇盛聚科技有限公司","暂扣或者吊销许可证、暂扣或者吊销执照","小关西街7号牡丹园西里","北洋桥路与丁字桥路三叉路口","2019-03-27","贵Y·15ZIM","面包车","蓝色","超载","台湾省交通部"
"蓝珠","120113199509183140","上级交办","I080449018490","已处理","上海源公建筑装饰工程有限公司","行政拘留","宋庄镇小堡文化广场旁徐宋路东","德治路与东西湖大道十字路口","2019-04-06","云M·WQYP2","轻卡","蓝色","超载","内蒙古自治区交通部"
"褚良海","120121197310056210","群众举报","R049447641143","已处理","重庆祥耀建筑产业集团有限公司","没收违法所得、没收非法财物","北苑仰山路4号","常飞街与都府堤路十字路口","2019-04-07","赣Y·KJHRP","低速载货车","蓝色","超载","贵州省交通部"
"金瑶","120417199707236859","上级交办","F079235440015","已处理","上海东裕股份有限公司","行政拘留","采育镇大皮营三村福西街115号","大兴二路与宝通寺路十字路口","2019-06-15","宁V·RB57W","面包车","蓝色","超速","广东省交通部"
"云钧冠","120504199806224463","有关部门移送","J049881925229","待处理","沈阳康百通土石方工程有限公司","行政拘留","阜成路93号","崔家墩路与楚汉路三叉路口","2019-05-02","晋O·0AWU1","重卡","黄色","超速","青海省交通部"
"酆祥","120602198208237915","有关部门移送","M081022183875","待处理","重庆康宏建筑产业集团有限公司","责令停产停业","刘林池北京世博贸易有限公司","毕升路与东西湖大道十字路口","2019-05-11","粤I·4NN3T","皮卡","蓝色","超速","湖北省交通部"
"吕鹏泽","120722198012318453","有关部门移送","D077650550900","处理中","天津升盈集团股份有限公司","责令停产停业","小瓦窑小屯路4号院1号楼","保望堤社区北二路与北洋桥路三叉路口","2019-04-20","京U·44RNL","轻卡","蓝色","超速","江西省交通部"
"穆诚先","120722198205314535","有关部门移送","I021929348935","待处理","厦门佳泰贵房产经纪有限公司","法律、行政法规规定的其他行政处罚","地安门外大街127号","大兴二路与保望堤社区北二路三叉路口","2019-06-21","鲁K·RIVE9","重卡","黄色","超速","贵州省交通部"
"毕楠榕","120926197008178317","检查发现","D058051002404","待处理","广州隆新正咨询管理有限责任公司","责令停产停业","柳芳北里甲12号楼","白沙洲大道与北京路十字路口","2019-06-20","宁G·R67QO","重卡","黄色","超速","重庆市交通部"
"范莎","130223198611178810","群众举报","K096783519419","处理中","大连美飞物业管理有限公司","暂扣或者吊销许可证、暂扣或者吊销执照","西二旗唐家岭北路东口","北三区玻璃厂街与大兴二路三叉路口","2019-05-19","甘D·S76K8","皮卡","蓝色","超速","澳门特别行政区交通部"
