"1","翁金松","710422199005166378","新疆维吾尔族自治区石河子市","新疆维吾尔族自治区石河子市长辛店东三坡三里58号","证券分析师","开设赌场罪","一年","浙江省第二监狱","2008-05-11"
"2","钱秀红","510927199909241176","四川省遂宁市大英县","四川省遂宁市大英县北青云路青云小区对面","市场/营销/拓展总监","工伤赔偿纠纷","一年","浙江省南郊监狱","2017-09-19"
"3","裘亚能","210922198205103268","辽宁省阜新市彰武县","辽宁省阜新市彰武县石景山路2号北京台湾街C01区3号楼首层","客服及支持","人身损害赔偿","两年","浙江省乔司监狱","2000-05-05"
"4","郭华","110208199008167627","北京市县","北京市县华远好天地商业中心37号楼3层301室","建筑机电工程师","诈骗罪","五年","浙江省第四监狱","2008-08-11"
"5","魏兴苗","541026197812271657","西藏自治区拉萨市墨竹工卡县","西藏自治区拉萨市墨竹工卡县砖厂南里33号楼3层","环保","盗窃罪","3个月","浙江省东郊监狱","1996-12-22"
"6","潘昌正","351206199812268128","福建省龙岩市漳平市","福建省龙岩市漳平市农业大学西校区","财务总监","追索劳动报酬纠纷","一年","浙江省第六监狱","2016-12-21"
"7","姚俊","541621199412193872","西藏自治区拉萨市墨竹工卡县","西藏自治区拉萨市墨竹工卡县东三环富力广场北天之骄子1-2-1002","互联网软件开发工程师","集资诈骗罪","两年","浙江省第六监狱","2012-12-14"
"8","王莹莹","151522197201207238","内蒙古自治区赤峰市敖汉旗","内蒙古自治区赤峰市敖汉旗二拨子工业园区中路102号","传菜主管","赌博罪","两年","浙江省第四监狱","1990-01-15"
"9","杨鑫","530410198411268613","云南省玉溪市红塔区","云南省玉溪市红塔区回龙观镇北清路1号院8号楼底商","网站策划","诈骗罪","两年","浙江省第二监狱","2002-11-22"
"10","郭国良","461325199312277719","海南省三亚市市辖区","海南省三亚市市辖区运河西大街葛布店北里141号果园环岛东侧200米","培训","寻衅滋事罪","3个月","浙江省第四监狱","2011-12-23"
"11","杨涛涛","630617200012154190","青海省西宁市大通回族土族自治县","青海省西宁市大通回族土族自治县黄村镇滨河街5号","安全员","寻衅滋事罪","两年","浙江省乔司监狱","2018-12-11"
"12","乐高富","510910199607013241","四川省遂宁市市中区","四川省遂宁市市中区北青云路青云小区对面","物流主管","行政处罚","3个月","浙江省乔司监狱","2014-06-27"
"13","陈隆海","351511197505206422","福建省龙岩市漳平市","福建省龙岩市漳平市回龙观新龙城北街北区15号龙虾33私房菜","广告","盗窃罪","两年","浙江省南郊监狱","1993-05-15"
"14","陈锦江","151805197410084723","内蒙古自治区赤峰市敖汉旗","内蒙古自治区赤峰市敖汉旗垂杨柳中街6号楼西侧平房","渠道/分销经理","盗窃罪","两年","浙江省第四监狱","1992-10-03"
"15","陈明初","130826199505144865","河北省承德市丰宁满族自治县","河北省承德市丰宁满族自治县昌崔路北邵洼地铁","其他","人身损害赔偿","两年","浙江省第二监狱","2013-05-09"
"16","张其华","511201197306063212","四川省乐山市峨眉山市","四川省乐山市峨眉山市健安东路安贞西里二区3号楼","市场助理","组织领导参加黑社会性质组织罪","五年","浙江省第四监狱","1991-06-02"
"17","徐志雄","420521200104216296","湖北省宜昌市宜昌县","湖北省宜昌市宜昌县陆港城商业步行街内104-105号","服装领班","追索劳动报酬纠纷","一年","浙江省南郊监狱","2019-04-17"
"18","吉克陈刚","370312199809078736","山东省淄博市周村区","山东省淄博市周村区马连洼北路15号","采购主管","盗窃罪","一年","浙江省南郊监狱","2016-09-02"
"19","陈志珍法院","451006197511054831","广西壮族自治区玉林市北流市","广西壮族自治区玉林市北流市开放路113号南四层609室","银行柜员","贩卖毒品罪","一年","浙江省第六监狱","1993-10-31"
"20","官定安","421801197008049822","湖北省咸宁市通山县","湖北省咸宁市通山县健安东路安贞西里二区3号楼","焊工","贩卖毒品罪","一年","浙江省乔司监狱","1988-07-30"
"21","孔宁建","440213198712146669","广东省韶关市浈江区","广东省韶关市浈江区春泽路与临泓路交叉口南行80米路西","客服专员/助理","强制医疗","3个月","浙江省第六监狱","2005-12-09"
"22","罗成兵","430209199909286162","湖南省株洲市石峰区","湖南省株洲市石峰区七星东街七星园11号","酒店前台","诈骗罪","两年","浙江省西郊监狱","2017-09-23"
"23","徐文庆","451804198804214737","广西壮族自治区玉林市北流市","广西壮族自治区玉林市北流市回龙观镇北清路1号院8号楼底商","纸样师/车板工","聚众斗殴罪","6个月","浙江省西郊监狱","2006-04-17"
"24","王恩秀","110108199505132475","北京市海淀区","北京市海淀区华远好天地商业中心37号楼3层301室","网店模特","盗窃罪","五年","浙江省第二监狱","2013-05-08"
"25","马天飞","650815197901101522","新疆维吾尔族自治区克拉玛依市乌尔禾区","新疆维吾尔族自治区克拉玛依市乌尔禾区百子湾后现代城门口环岛北50米","其他","诈骗罪","两年","浙江省乔司监狱","1997-01-05"
"26","符军旗","641814197803137211","宁夏回族自治区吴忠市灵武市","宁夏回族自治区吴忠市灵武市站前街8号院","其他","赌博罪","一年","浙江省南郊监狱","1996-03-08"
"27","李加祯","611217200102058012","陕西省汉中市佛坪县","陕西省汉中市佛坪县崇文门外大街国瑞购物中心3F西南","固废工程师","合同纠纷","3个月","浙江省西郊监狱","2019-02-01"
"28","王良玉","211814199206222589","辽宁省葫芦岛市兴城市","辽宁省葫芦岛市兴城市昌崔路北邵洼地铁","人事经理","开设赌场罪","3个月","浙江省第六监狱","2010-06-18"
"29","阙执春","441505197703265463","广东省汕尾市城区","广东省汕尾市城区双榆树北里榆苑公寓","客服专员/助理","继承纠纷","6个月","浙江省西郊监狱","1995-03-22"
"30","杨巨敬","451321198808151963","广西壮族自治区玉林市北流市","广西壮族自治区玉林市北流市神路街39号","寻呼员/话务员","开设赌场罪","五年","浙江省第六监狱","2006-08-11"
"31","程科","450811197610253873","广西壮族自治区贵港市港南区","广西壮族自治区贵港市港南区站前北街","房地产客服","聚众斗殴罪","6个月","浙江省乔司监狱","1994-10-21"
"32","朱红红","651713198005202116","新疆维吾尔族自治区克拉玛依市乌尔禾区","新疆维吾尔族自治区克拉玛依市乌尔禾区运河西大街葛布店北里141号果园环岛东侧200米","其他","追索劳动报酬纠纷","一年","浙江省乔司监狱","1998-05-16"
"33","牛林","110917199606169278","北京市延庆县","北京市延庆县石佛营路与朝阳北路交叉口西北角串通店内","水处理工程师","盗窃罪","五年","浙江省西郊监狱","2014-06-12"
"34","洪猛","340508197011206964","安徽省马鞍山市向山区","安徽省马鞍山市向山区甜水园东街道家园甲6号","其他","经济补偿金纠纷","五年","浙江省第二监狱","1988-11-15"
"35","张奎贤","221728199012289720","吉林省白城市大安市","吉林省白城市大安市站前北街","汽车喷漆","故意伤害罪","两年","浙江省南郊监狱","2008-12-23"
