"1","黄婷婷","220205199309174175","15780735124","2013-09-12","浙江文达律师事务所"
"2","范珂娜","520710199602031224","13360106212","2014-01-29","岱山县法律援助中心"
"3","卢静","500714198101124908","15253125155","1999-01-08","浙江震瓯律师事务所"
"4","金光明","130308198803309626","15173968583","2006-03-26","浙江良济律师事务所"
"5","申海洋","431603197305018514","13446618188","1993-04-26","绍兴县齐贤法律服务所"
"6","王婉华","360608198312296259","14507651970","2004-12-23","浙江双塔律师事务所"
"7","张晓琴","610213196702026785","18698951071","1988-01-28","北京德恒温州律师事务所"
"8","郑国娣","350109197104189693","18632318490","1991-04-13","浙江康城律师事务所"
"9","字云永","341808197204144539","18004041378","1993-04-09","浙江宏驰律师事务所"
"10","吴林平","441620199109226745","13967014680","2010-09-17","浙江游龙律师事务所"
"11","毛林辉","150705197605254208","13683196874","1996-05-20","浙江慈中律师事务所"
"12","王培静","151319197112126753","15164632949","1989-12-07","浙江五洲律师事务所"
"13","陈乐娇","501408196403163835","18830502065","1982-03-12","浙江润杭律师事务所"
"14","陈亚辉","511323198701261536","18135277241","2006-01-21","浙江雄镇律师事务所"
"15","徐丽霞","371412199406308983","13243014445","2012-06-25","浙江泽大绍兴律师事务所"
"16","严慧慧","410125199610044185","13108420600","2015-09-30","浙江民邦律师事务所"
"17","徐富","140506197407071232","13405700649","1995-07-02","浙江慈益律师事务所"
"18","洪小娟","451702195912183952","15582534034","1977-12-13","北京德恒温州律师事务所"
"19","钱明","451711197212272637","18609835934","1990-12-23","浙江九州大众律师事务所"
"20","胡海娟","631513198503256951","18299569767","2003-03-21","浙江明显律师事务所"
"21","章青","811203196607107103","18284480772","1987-07-05","浙江凡心律师事务所"
"22","字云永","461525197004088467","18627098084","1991-04-03","浙江宏驰律师事务所"
"23","陶毅杰","311122199011011971","15986689429","2011-10-27","浙江丽阳缙云律师事务所"
"24","姚培坤","120920198803047967","14714118871","2006-02-28","浙江圣文律师事务所"
"25","郑志平","230228196503236910","13556279065","1985-03-18","浙江援桥律师事务所"
"26","沈晨翔","231024198211055914","13128846911","2003-10-31","浙江震舟律师事务所"
"27","强雅娟","340622196504039135","14596562347","1986-03-29","北京盈科宁波律师事务所"
"28","杨钰","131313198002247210","13925962008","2001-02-18","浙江诺力亚律师事务所"
"29","陈雪芽","531511198704206799","15932938387","2006-04-15","浙江光正大律师事务所"
"30","丁丽玲","411827198301057553","18683478689","2003-12-31","浙江乾盛律师事务所"
"31","严丽华","521320199203261888","15873405756","2012-03-21","浙江靖霖律师事务所"
"32","周燕青","151110198609169805","18612798364","2005-09-11","浙江合一律师事务所"
"33","姚锦岳","811811196704271421","13003948824","1986-04-22","浙江众安律师事务所"
"34","鲍祖湘","510322198007173438","15893881332","1998-07-13","绍兴县钱清法律服务所"
"35","屠骏蔚","450110196211118357","15332443959","1982-11-06","浙江中锐律师事务所"
"36","戴潮龙","431519197004061939","18644747596","1991-04-01","浙江嘉瑞成永嘉律师事务所"
"37","梅陈炎","451501196307288354","13925658622","1984-07-22","浙江嘉瑞成律师事务所"
"38","虞娟娟","641307199212147613","18075350510","2010-12-10","浙江瑞越律师事务所"
"39","潘伟娜","461112199507219067","13357005879","2015-07-16","浙江左源律师事务所"
"40","任春君","520918196809126488","13522871191","1989-09-07","浙江大丰律师事务所"
"41","沈荣","370603197401012126","13545878898","1994-12-27","浙江中英律师事务所"
"42","舒春晓","650805198805042799","14522057290","2009-04-29","浙江五洲律师事务所"
"43","仝泽强","121119199704231380","15800343258","2015-04-19","浙江绍明律师事务所"
"44","周丽清","141312197302086625","18643854684","1993-02-03","浙江慈鼎律师事务所"
"45","张婧","450923198810254361","15309313308","2007-10-21","浙江天卫律师事务所"
"46","黄达","321221196802015038","13389053776","1986-01-27","浙江云邦律师事务所"
"47","吴莹","620922197207026951","13372337348","1990-06-28","浙江震舟律师事务所"
"48","张黎","630904197907218889","13811044840","1999-07-16","浙江六和温州律师事务所"
"49","王伟","441206198912235251","13677369180","2007-12-19","上海浩信杭州律师事务所"
"50","王靖璨","650928197110058438","13098421981","1992-09-29","浙江东瓯律师事务所"
"51","周国平","370213198601112553","18156514574","2004-01-07","浙江刚诚律师事务所"
"52","吕惠","530516196112018513","15368497171","1979-11-27","浙江博翔律师事务所"
"53","楼旭东","621622198401038352","14527409262","2004-12-28","浙江曦明律师事务所"
"54","陈倩","420114199301078783","18287761372","2012-01-03","浙江鼎联律师事务所"
"55","何文捍","220219198911223301","18993822593","2008-11-17","浙江兴衢律师事务所"
"56","王素花","461010197402226620","18959037501","1995-02-17","浙江法校诸暨律师事务所"
"57","钱跃庭","210214197108194184","15959071440","1992-08-13","龙游县曙光法律服务所"
"58","涂玉梅","711016196905198123","15518672867","1989-05-14","云和县同心法律服务所"
"59","苏波","220615196707264238","18050952659","1988-07-20","浙江九凰律师事务所"
"60","黄晓燕","220909196205278523","18246911692","1980-05-22","浙江品和律师事务所"
"61","周苗红","231819199604028457","18077063033","2014-03-29","浙江义韬律师事务所"
"62","应美珍","210702197502224783","18555051514","1996-02-17","浙江玉海律师事务所"
"63","郭静怡","520718196712313397","18190604017","1986-12-26","浙江台温律师事务所"
"64","张宏燕","541619196210259381","13423638827","1982-10-20","新昌县城关法律服务所"
"65","洪旭明","410801196112237246","13040311676","1982-12-18","浙江卓特律师事务所"
"66","王萍","370425199408026427","15226282042","2013-07-28","浙江苕溪律师事务所"
"67","黄成","351113196412285728","13716770182","1983-12-24","浙江金成太炎律师事务所"
"68","朱敏霞","430815198304171663","15042362849","2002-04-12","浙江康衢律师事务所"
"69","诸葛莹","151109197803116429","15336111871","1998-03-06","浙江一剑律师事务所"
"70","王培静","150428197101026185","18598115290","1990-12-28","浙江五洲律师事务所"
"71","黄林","331808198310061948","14516954083","2004-09-30","浙江新希望律师事务所"
"72","杨建员","521603198108284470","13501357447","2000-08-23","浙江知仁律师事务所"
"73","沈学弟","641117197610142838","18103810999","1995-10-10","浙江天卓律师事务所"
"74","李肇基","140503198905048083","13606844833","2010-04-29","缙云县政鼎法律服务所"
"75","高阳","361816197002213020","15058463083","1990-02-16","浙江三利律师事务所"
"76","陈建友","450619198103193941","15908231550","2002-03-14","北京盈科温州律师事务所"
"77","杨璐","321404198203082023","18097770097","2000-03-03","浙江良济律师事务所"
"78","蔡青","650905196403159494","13662071336","1983-03-11","德清县永安法律服务所"
"79","徐建宏","340803196510087274","18799247645","1985-10-03","浙江中汇律师事务所"
"80","郑峰","431526199406063444","13620434148","2014-06-01","浙江红大律师事务所"
"81","厉建卫","420901196907123820","18836664487","1990-07-07","浙江援桥律师事务所"
"82","陈胜春","350206198808075697","13595938402","2007-08-03","浙江从周律师事务所"
"83","南振安","361203196708139960","13805968528","1985-08-08","浙江六和温州律师事务所"
"84","顾军杰","510208198101103547","15361502257","1999-01-06","浙江金嘉律师事务所"
"85","钱嘉佳","370321196707259102","13958370542","1986-07-20","浙江奇墨律师事务所"
"86","吴正","141204196312027296","13967540704","1984-11-26","三门县海游法律服务所"
"87","周利明","641614197304246399","14716084141","1992-04-19","浙江正瑞律师事务所"
"88","柴月锋","370727199208093109","13822625131","2011-08-05","杭州市富阳区银湖法律服务所"
"89","郭斯安","541326197306196496","14510731675","1994-06-14","浙江咏法律师事务所"
"90","胡静","370504199504073056","18713563271","2014-04-02","浙江三星律师事务所"
"91","陈娟","441825196412273377","18773757391","1985-12-22","浙江共业律师事务所"
"92","程福毅","151406198907315089","18045904595","2010-07-26","浙江泽大新昌律师事务所"
"93","俞彬彬","210714197412104738","14534370216","1993-12-05","浙江泰杭宁海律师事务所"
"94","康良","410524197105073847","15071062366","1992-05-01","浙江瑞坤律师事务所"
