"陶刚","110127197505088350","首都机场南路甲1号","15707772075","棉花采摘机","9YM-80","2","I083574856335","C035792677946","2018-07-17","招商银行","6373430563073581334","2019-06-23"
"毕贞","110305197803301689","天通东苑一区50号楼","13500110257","棉花采摘机","5AZ-39","1","N075062751697","C061187814214","2016-03-24","中国农业银行","6610291563073588092","2018-03-16"
"齐炎德","110411198505085108","右安门外开阳里五区6号","13401548585","烘干机","2UK-27","2","A026585653062","G018574787648","2016-04-01","中国邮政储蓄银行","6338196563073580366","2018-04-21"
"褚富顺","110516197305106840","学清路58同城大楼D门内","15004268966","棉花采摘机","9MN-89","2","O018948747322","K087566561485","2017-05-13","华夏银行","6690665563073588480","2018-10-07"
"廉亨奇","110606197909261966","严正街16-2号国广公寓","13402308249","挤奶机","1KQ-35","2","D006827532815","C048567368570","2018-11-15","华夏银行","6400056563073580090","2019-01-20"
"沈梅","110621199811238738","东二环劲松九区907号楼","15205567637","烘干机","1DA-25","3","F089292403644","D095050436494","2018-06-22","中国人民银行","6337188563073582646","2018-08-03"
"姜竹霭","110707198602189764","慧华苑小区门面房","13707666259","甘蔗收获机","8KV-57","3","K090240888944","D092231687937","2016-12-16","交通银行","6936115563073585588","2017-03-07"
"穆文","111125199905277354","芳草地西街11号小白楼","13107249067","烘干机","1YJ-37","1","I004645595257","K025101193624","2018-05-21","中国民生银行","6438791563073587459","2018-08-21"
"柳红","111327197709072944","大屯路慧忠里小区201号楼1层","15801303305","拖拉机","6CE-89","2","B095388176276","E049445231146","2016-07-03","中国工商银行","6262175563073582096","2017-08-21"
"唐毅","111512199501054653","北土城西路（瑞洁加油站西侧）和木TheHome私厨","15207727500","收割机","5CM-01","3","P034367381240","L099914032465","2018-01-15","招商银行","6712438563073584958","2018-04-15"
"时青倩","120218197810025628","顺沙路电信局往北200米","15704181829","挤奶机","8UY-14","3","R083960688729","G005464104117","2016-05-27","交通银行","6146517563073586354","2017-05-08"
"酆天","120326199311077638","垡头西里13号院7号工场自如寓A121室","13307336450","拖拉机","0CC-96","3","O042358478367","P091762106801","2017-10-29","华夏银行","6784584563073581211","2018-05-08"
"闵功","121505199805111757","南竹竿胡同2号","13405538741","棉花采摘机","8TE-19","2","M065071950790","E053598649323","2016-06-02","中国银行","6355213563073583256","2018-01-11"
"云杰涛","121515197812294806","回龙观镇龙域南街12号院1号楼105室","15904504570","挤奶机","4QT-07","2","D059290161756","E049286579506","2017-07-20","中信银行","6781637563073585108","2019-03-17"
"康涛","130302199306025587","回龙观西大街107号昆泰嘉禾酒店一层","15106314991","甘蔗收获机","6UJ-18","2","J079221212339","M032477012191","2018-04-16","中国光大银行","6303490563073586006","2018-04-27"
"李蕊薇","130308198612223068","顺源街牛王庙2号","13302555266","甘蔗收获机","9FG-41","3","Q046667964781","J060598884221","2017-06-25","华夏银行","6965249563073586980","2017-11-05"
