"宁波市宁海县公佳石化有限公司","永外果园8号欣雅汇生活广场4F-16","闵希","13507276217","感染性废物","831-001-01","70g","1g","36g","33g"
"潮州市安吉县乾富制药有限公司","东直门内大街144号","水滢馥","15806020024","损伤性废物","831-002-01","370g","328g","31g","11g"
"温州市苍南县耀顺石化有限公司","东亚五环国际地商4号","时卿","13107975759","病理性废物","831-003-01","680g","102g","296g","282g"
"温州市苍南县同富制药有限公司","清河毛纺路南口五彩城斜对面","袁克伦","13404962734","化学性废物","831-004-01","2g","0g","1g","1g"
"衢州市常山县洪仁电镀有限公司","呼家楼好世界商城B1扶梯旁","滕天","13003298823","药物性废物","831-005-01","843g","394g","443g","6g"
"台州市黄岩区欣丰能源化工有限公司","南环路10号院1号楼悦荟万科广场5层","闵霞香","15903702280","为防治动物传染病而需要收集和处置的废物","900-001-01","913g","459g","385g","69g"
"宁波市奉化区长隆药业有限公司","旧府街与青礼路交叉口南100米","苗榕","13306642986","化学合成原料药生产过程中产生的蒸馏及反应残余物","271-001-02","245g","122g","23g","100g"
"台州市天台县利如生物科技有限公司","怡馨家园1号楼二门905室","章慧巧","15508714396","化学合成原料药生产过程中产生的废母液及反应基废物","271-002-02","41g","29g","0g","12g"
"杭州市西湖区德高帆布生产有限公司","李家坟7号院创意总社1949","韩信子","13203492142","化学合成原料药生产过程中产生的废脱色过滤介质","271-003-02","175g","145g","24g","6g"
"杭州市滨江区东昌生物科技有限公司","双龙南里","严致树","15700452106","化学合成原料药生产过程中产生的废吸附剂","271-004-02","977g","366g","168g","443g"
"温州市永嘉县春谦药品有限公司","五棵松西翠路","赵娅琦","15002771706","化学合成原料药生产过程中的废弃产品及中间体化学药品制剂生产过程中的原料药","271-005-02","152g","130g","19g","3g"
"台州市仙居县伟荣电镀有限公司","广泽路望京花园小区214号","鲍永","13808523243","提纯精制、再加工产生的蒸馏及反应残余物化学药品制剂生产过程中的原料药","272-001-02","925g","371g","546g","8g"
"宁波市鄞州区长隆医药有限公司","马家堡东路106号院1号楼","陶武新","13408665154","提纯精制、再加工产生的废母液及反应基废物","272-002-02","194g","107g","65g","22g"
"杭州市桐庐县德祥生物科技有限公司","甘家口甲8号甘家口大厦南侧北方朗逸酒店","宋晨辰","13101797444","化学药品制剂生产过程中产生的废脱色过滤介质","272-003-02","685g","469g","13g","203g"
"杭州市下城区德高石化有限公司","北京站3号","戚蓓","15502607011","化学药品制剂生产过程中产生的废吸附剂","272-004-02","993g","458g","355g","180g"
"潮州市安吉县利如辐条有限公司","华威里27号陕西大厦B1层","滕纯毓","15001012388","化学药品制剂生产过程中产生的废弃产品及原料药","272-005-02","142g","98g","25g","19g"
"金华市浦江县公盈药业有限公司","光机电一体化产业基地嘉创路十号","唐锦黛","15904837456","使用砷或有机砷化合物生产兽药过程中产生的废水处理污泥","275-001-02","451g","26g","8g","417g"
"台州市三门县耀佳电镀有限公司","康健胡同2号","周晨辰","15307473822","使用砷或有机砷化合物生产兽药过程中蒸馏工艺产生的蒸馏残余物","275-002-02","792g","482g","292g","18g"
"宁波市宁海县公佳石化有限公司","永外果园8号欣雅汇生活广场4F-16","闵希","13507276217","使用砷或有机砷化合物生产兽药过程中产生的废脱色过滤介质及吸附剂","275-003-02","598g","177g","318g","103g"
"潮州市安吉县乾富制药有限公司","东直门内大街144号","水滢馥","15806020024","其他兽药生产过程中产生的蒸馏及反应残余物","275-004-02","720g","611g","32g","77g"
"温州市苍南县耀顺石化有限公司","东亚五环国际地商4号","时卿","13107975759","其他兽药生产过程中产生的废脱色过滤介质及吸附剂","275-005-02","811g","559g","92g","160g"
"温州市苍南县同富制药有限公司","清河毛纺路南口五彩城斜对面","袁克伦","13404962734","兽药生产过程中产生的废母液、反应基和培养基废物","275-006-02","757g","503g","216g","38g"
"宁波市宁海县公佳石化有限公司","永外果园8号欣雅汇生活广场4F-16","闵希","13507276217","兽药生产过程中产生的废吸附剂","275-007-02","933g","328g","23g","582g"
"潮州市安吉县乾富制药有限公司","东直门内大街144号","水滢馥","15806020024","兽药生产过程中产生的废弃产品及原料药利用生物技术生产生物化学药品、基","275-008-02","30g","20g","6g","4g"
"温州市苍南县耀顺石化有限公司","东亚五环国际地商4号","时卿","13107975759","因工程药物过程中产生的蒸馏及反应残余物利用生物技术生产生物化学药品、基因工程药物过程中产生的废母液、反","276-001-02","948g","578g","176g","194g"
"温州市苍南县同富制药有限公司","清河毛纺路南口五彩城斜对面","袁克伦","13404962734","应基和培养基废物（不包括利用生物技术合成氨基酸、维生素过程中产生的培养基废物）利用生物技术生产生物化学药品、基","276-002-02","242g","173g","66g","3g"
