"10062","熊亚","13631016525","330720199708217984","162","26%","2016-11-21","现金出资"
"10234","陈端雷","13184250563","330404198703177024","307","24%","2018-05-29","现金出资"
"10388","肖月梅","13521435187","330501197203310976","359","29%","2017-08-15","现金出资"
"10772","祝宇翀","13235652246","330528197107312000","426","28%","2015-02-13","现金出资"
"12377","衣志明","13803484448","330125197208057024","424","28%","2017-09-01","现金出资"
"12600","陈文亮","13929339942","330120199606110976","349","13%","2015-11-11","现金出资"
"13018","娄恒","13901317819","330407199410217984","102","29%","2017-11-02","现金出资"
"13379","潘小雪","13496917796","330315198004164992","292","22%","2016-06-07","现金出资"
"13575","颜飞","13179541266","330824198001168000","267","25%","2016-10-28","现金出资"
"14563","陈本军","13908106233","330825198412033024","209","11%","2017-05-24","现金出资"
"15018","颜招芳","13778289340","330823198807217024","487","10%","2018-03-23","现金出资"
"15165","高旭笑","13126590481","330327197610244992","144","23%","2018-02-01","现金出资"
"15616","胡瑞平","13828362098","330321198005256000","358","24%","2015-02-27","现金出资"
"16234","朱菁","13596980014","330513199709144000","201","22%","2017-03-28","现金出资"
"16332","盛帆","13280128687","330308199008235008","243","26%","2018-01-23","现金出资"
"16566","曹义","13364047753","330413198311308992","203","27%","2018-04-28","现金出资"
"16768","刁鹤云","13650182765","330307199608086016","124","12%","2017-07-11","现金出资"
"17012","杨杰","13835218426","330926199209070976","396","19%","2018-06-11","现金出资"
"17397","杨勇","13394258148","330616199409132992","304","13%","2016-05-25","现金出资"
"18214","洪树立","13150236595","330724198811304000","360","18%","2015-08-27","现金出资"
"18896","朱千成","13407203899","330104197810115008","179","24%","2016-05-30","现金出资"
"19149","吴取云","13346163380","330819199408251008","321","13%","2018-03-16","现金出资"
"19156","赵刚","13991598625","330624197704049024","345","29%","2018-02-01","现金出资"
"19426","张弘","13735356167","330806199701288000","482","23%","2014-05-30","现金出资"
"19854","虞征","13934677968","331024198908118016","349","20%","2016-01-20","现金出资"
"20001","杨曹丽","13687633534","330213198310028992","339","27%","2015-12-08","现金出资"
"20107","黄露芹","13116764477","330723198412244992","365","19%","2017-12-13","现金出资"
"20782","蒋莉莉","13542598110","330211198703305984","122","11%","2014-12-18","现金出资"
"20833","丁琳璐","13719847958","330227198201038976","390","16%","2018-06-01","现金出资"
"21935","朱小霞","13216382287","331007199501305984","126","23%","2014-09-10","现金出资"
"22290","刘宗梅","13968939673","331019197211254016","218","11%","2015-06-17","现金出资"
"23392","周爱春","13531329145","330807198704216000","307","19%","2016-02-14","现金出资"
"23764","骆震","13696442437","330417197102222976","322","30%","2016-05-03","现金出资"
"24413","徐莹","13889438528","330418197502144000","447","24%","2015-12-04","现金出资"
"24963","梁华跃","13799368966","330508198801088000","208","30%","2018-05-22","现金出资"
"27403","金丽华","13952128444","330808199501017984","184","19%","2015-05-13","现金出资"
"27419","林雪姣","13760540953","330418198212044992","496","21%","2015-06-11","现金出资"
"27529","葛东辉","13310875455","331023198912180992","177","14%","2015-06-05","现金出资"
"27711","舒文通","13780122993","330609197607278016","410","11%","2018-02-27","现金出资"
"28166","张永潮","13946451220","330126199204108992","421","20%","2017-05-11","现金出资"
"28449","邵听军","13497461580","330614199511187008","322","24%","2018-01-12","现金出资"
"28737","张玲芳","13908817214","330324199108164992","208","13%","2016-10-26","现金出资"
"29441","刘志奋","13386320052","330723197605225984","344","26%","2015-11-25","现金出资"
"29805","刘慧霞","13445772780","330306197207244992","361","18%","2017-10-11","现金出资"
"29885","杨伟香","13122563867","330225198608273984","219","20%","2017-03-03","现金出资"
"30100","董利宁","13257562779","330122199301174976","465","22%","2015-10-28","现金出资"
"30858","吕明标","13197823083","330114198207075008","173","25%","2017-11-21","现金出资"
"30859","叶凤霞","13397402792","331022199311208000","168","27%","2016-08-03","现金出资"
"31349","鲁珽","13858273045","330104199209182976","251","17%","2018-03-26","现金出资"
"32219","徐永堂","13140942805","330415197608256000","168","18%","2018-05-21","现金出资"
"32769","徐春珍","13782369931","331019198502172032","134","13%","2017-06-28","现金出资"
"32867","吴丽丽","13302147147","330214197406169024","161","23%","2015-06-11","现金出资"
"32926","郑孝君","13788896431","330918198209227008","439","16%","2015-09-02","现金出资"
"32936","朱颜","13858678502","330818196908304000","430","15%","2017-03-30","现金出资"
"33039","陈善聪","13756098092","330211199504174976","390","12%","2018-05-23","现金出资"
"34505","吴贤光","13187842880","330919198108174016","341","18%","2017-07-04","现金出资"
"34852","王梅玲","13136026800","330618198205267968","421","26%","2018-01-19","现金出资"
"36190","陈雅婷","13522807304","330718198808145984","235","10%","2017-12-08","现金出资"
"36667","徐庆玉","13263279441","331016198201075008","495","16%","2014-07-15","现金出资"
"37232","王国平","13125438737","330604197712132992","352","12%","2017-11-15","现金出资"
"37365","颜管根","13776522338","330526197503073984","354","19%","2017-07-26","现金出资"
"37521","李泽欣","13636126722","330327199407075968","491","10%","2015-07-08","现金出资"
"38574","蔡汉武","13637181910","330625199904072000","205","26%","2016-08-11","现金出资"
"38661","余迎斌","13723826089","330613197801281984","107","26%","2017-04-12","现金出资"
"39193","陈德前","13389359991","330702197902177024","186","21%","2015-07-27","现金出资"
"39393","吴夏龙","13675831445","330404198607180992","105","10%","2017-01-12","现金出资"
"39604","王国平","13244033075","330419197111185024","421","25%","2017-07-07","现金出资"
"40006","陈秋琴","13324798598","330401198211222016","333","16%","2017-01-03","现金出资"
"41602","曾志","13644169251","330417198106112000","363","11%","2018-02-01","现金出资"
"42563","郭德卿","13185119326","330326198102204032","486","27%","2017-08-02","现金出资"
"42595","陈红萍","13820493222","330921198206172032","120","22%","2015-06-23","现金出资"
"43566","谢荣昌","13958996554","330119198807180992","339","26%","2016-08-19","现金出资"
"43811","朱礼亮","13223627030","330817197312134016","237","25%","2017-04-20","现金出资"
"43849","张永潮","13283798066","330111199503019008","101","17%","2017-07-11","现金出资"
"44245","纪洪波","13135706782","330409199207158016","200","30%","2016-12-12","现金出资"
"44645","朱旖旎","13468042847","330223198704124992","421","24%","2017-06-16","现金出资"
"45380","叶立峰","13497487743","330506199203030976","271","28%","2017-07-16","现金出资"
"45593","裴健康","13211948572","330123198909038976","280","13%","2017-05-24","现金出资"
"46723","陈金弓","13455541147","330726197807201024","422","21%","2017-04-13","现金出资"
"46854","徐从雨","13792178190","330420199008177024","426","30%","2016-11-21","现金出资"
"47673","杨涛","13722742915","330408197712126976","424","14%","2016-11-21","现金出资"
"47838","贝立波","13662793175","330911197401292032","323","29%","2016-12-19","现金出资"
"49106","陈玮","13377585916","330408197610230976","148","22%","2016-10-08","现金出资"
"49377","陈文亮","13128385217","330419198206246016","370","16%","2016-04-13","现金出资"
"49808","张国娟","13382523383","330419198809289024","363","12%","2015-02-15","现金出资"
"50729","陈芙","13977855188","331002197407105024","322","22%","2014-07-10","现金出资"
"50828","柷骥","13958013173","330917199612172992","496","14%","2016-02-16","现金出资"
"51589","陈北","13214755771","330110198608256000","265","24%","2014-09-26","现金出资"
"51860","方培军","13955950967","330625199308182016","246","20%","2016-04-07","现金出资"
"51987","石琦峰","13430520539","330410197701036992","192","19%","2018-06-01","现金出资"
"52069","刘博","13918339212","330715198509248000","299","21%","2017-11-16","现金出资"
"52322","罗玲玲","13891819709","330704199609094016","371","28%","2015-04-09","现金出资"
"53000","高飒飒","13328761105","330207198706166016","157","17%","2014-12-11","现金出资"
"53323","董坤雷","13731999979","330504197107056000","283","29%","2016-12-21","现金出资"
"53582","方伟红","13928081953","330606199403062976","410","30%","2017-01-23","现金出资"
"53753","吴小雨","13286674732","330927199312228992","259","23%","2014-07-22","现金出资"
"53941","郑虹","13837610773","330811198602204992","358","22%","2017-01-24","现金出资"
"53985","陈忠杰","13838458920","330410199211161984","191","10%","2015-12-14","现金出资"
"54902","阳中和","13779171381","330620198612243008","299","20%","2015-09-08","现金出资"
"55666","俞雪珍","13841330934","330204197605011968","390","26%","2018-04-02","现金出资"
"55679","林元龙","13998982874","330403198809241984","292","12%","2016-05-30","现金出资"
"55777","张定锐","13759828748","330727197707107968","218","21%","2017-11-02","现金出资"
"57610","黄旭讯","13910434035","330307199002196992","249","10%","2017-05-22","现金出资"
"58073","吴二民","13584466072","330215197508112000","359","13%","2017-02-07","现金出资"
"58214","林允鹏","13734256469","330927199901024000","374","11%","2018-02-01","现金出资"
"59792","李凤娟","13362600428","330601198405171968","232","15%","2018-05-16","现金出资"
"60659","奚德杰","13899590074","330502198212233984","294","30%","2017-05-27","现金出资"
"60938","吴天明","13254435077","330719199611153984","392","20%","2016-11-22","现金出资"
"60951","丁建红","13610775691","330508199501081984","432","23%","2016-10-24","现金出资"
"61049","高振想","13962587933","330801199104022976","361","25%","2015-08-07","现金出资"
"61330","杨周林","13845117889","330403198610268992","291","20%","2015-07-28","现金出资"
"61429","贾静静","13486934307","330924199508078976","159","12%","2016-12-29","现金出资"
"61510","黄宁宁","13306985823","330711198601211008","241","21%","2015-12-14","现金出资"
"61636","黄科海","13144585147","330907197810112000","140","17%","2015-01-19","现金出资"
"62059","莫花英","13380642033","330508198807208000","246","27%","2018-05-29","现金出资"
"63085","李向阳","13771032812","330217196910022976","393","13%","2018-04-11","现金出资"
"63274","王海静","13157200920","330103199705187008","290","13%","2015-08-11","现金出资"
"63444","刘莲","13778490006","331022197809244032","141","27%","2016-10-25","现金出资"
"64132","王夏雨","13770539292","330220197410094976","238","13%","2017-04-14","现金出资"
"64367","赵守平","13686591633","330922197208259008","489","29%","2016-10-17","现金出资"
"66012","徐金明","13811229325","330321199405123008","279","23%","2017-02-13","现金出资"
"66021","谢玉宇","13467136591","330624198311108992","192","27%","2016-07-05","现金出资"
"66771","裘鹏辉","13519528265","331026197104030976","404","30%","2017-10-20","现金出资"
"67351","史剑雄","13376292560","330611199501166016","474","20%","2017-04-27","现金出资"
"67775","金乐乐","13505291700","330604198707057984","155","27%","2016-08-17","现金出资"
"68008","杨中良（2015.08.12企业自行申请变更质量负责人）","13805067508","330703197411187968","319","25%","2015-06-05","现金出资"
"68709","冯佳丽","13985798418","330507198506081024","439","24%","2016-07-12","现金出资"
"70098","陈利梅","13610173629","330723197409060992","403","15%","2017-09-15","现金出资"
"70225","商永鹏","13585525705","330613198804011008","116","25%","2015-01-14","现金出资"
"70484","林约","13840833934","330424198710145024","345","13%","2016-09-06","现金出资"
"71303","金兴春","13410431999","330623198109278016","471","11%","2016-11-11","现金出资"
"71739","王立仁","13133576454","330815199804286016","172","15%","2018-02-14","现金出资"
"72290","叶旭昆","13590250593","330605198107201024","112","28%","2017-07-20","现金出资"
"72515","刘桂兰","13795315580","330814198803017984","298","27%","2016-12-16","现金出资"
"73914","李莎莎","13514415773","330711198102139008","445","22%","2016-01-22","现金出资"
"74145","朱永祥","13501869560","330101197705233024","298","30%","2018-05-29","现金出资"
"74659","甄永学","13646182170","330413197508196992","297","23%","2014-09-04","现金出资"
"75157","王巧芬","13136121172","330808199402246976","104","29%","2016-03-14","现金出资"
"75585","任重","13260239814","330928199109102976","210","21%","2014-05-09","现金出资"
"76105","宋娟","13934734924","331015198208121984","265","24%","2018-05-16","现金出资"
"76262","潘坤杰","13816377520","330127197609164992","371","24%","2018-02-14","现金出资"
"76569","王泽浩","13569610686","330526198803177024","382","18%","2014-05-23","现金出资"
"76878","郑书军","13698996631","330820199109254976","305","22%","2016-03-30","现金出资"
"77799","陈海红","13298623492","330815199902182016","231","27%","2016-09-14","现金出资"
"78650","张科技","13194867268","330510199302182976","145","26%","2016-12-07","现金出资"
"79028","周云","13560740060","330213198905108992","458","25%","2017-11-23","现金出资"
"79072","张立凤","13684783355","330621197704267008","333","27%","2014-08-14","现金出资"
"79670","单勤","13251519625","330626199110288000","284","30%","2017-07-27","现金出资"
"79774","温正直","13619922741","330219198109134016","275","23%","2014-12-04","现金出资"
"79805","董芳","13492478987","331018199602222016","450","17%","2015-11-19","现金出资"
"80364","沈钢军","13175734158","330213199604272000","354","28%","2014-08-14","现金出资"
"80399","梁金桃","13289962432","330513199009172992","260","29%","2018-01-04","现金出资"
"80735","陈黄妹","13822790165","330203197303198976","294","14%","2016-01-18","现金出资"
"80851","蒋剑刚","13342880302","330914199208201024","184","14%","2018-03-23","现金出资"
"81171","杜丽娜","13527362816","331013198005155968","227","12%","2018-03-06","现金出资"
"81305","高亚芬","13517458209","330323197708041984","469","13%","2014-10-15","现金出资"
"81784","孙国原","13333267914","330125199704041984","175","26%","2017-08-04","现金出资"
"82058","徐平平","13319266417","331010197809252992","385","12%","2017-02-06","现金出资"
"82145","陈淑芳","13777178351","330923197412304000","164","23%","2015-01-16","现金出资"
"82408","顾文裕","13337258339","330512198702068992","165","20%","2015-02-09","现金出资"
"82925","姜鹏超","13670951895","330806198205060992","439","22%","2016-12-13","现金出资"
"83307","王卫英","13779452929","330216198103144000","158","12%","2015-08-28","现金出资"
"83555","黄中秋","13388923513","330425198901217024","408","29%","2018-04-03","现金出资"
"83871","徐培莉","13674796927","330524198604049024","404","30%","2017-11-16","现金出资"
"85270","汤旭勇","13951765249","330601199107238976","203","18%","2018-06-22","现金出资"
"85285","乔丽娟","13179487104","331019197204145984","129","27%","2015-05-15","现金出资"
"85381","陈建伟","13734869484","330128199202107008","397","19%","2015-12-21","现金出资"
"85855","廖初梅","13779856915","330514199505060992","299","26%","2018-06-26","现金出资"
"86237","李斌斌","13697869955","330110197003190976","341","29%","2015-05-27","现金出资"
"86755","陈灵","13241709696","330403197108110976","280","19%","2016-12-12","现金出资"
"87100","张莉","13330077871","330215199009276992","302","21%","2018-03-19","现金出资"
"87140","胡结","13531890362","330223198703310976","412","27%","2014-04-21","现金出资"
"87269","杨卫琴","13991063913","330427199907148992","122","16%","2015-08-26","现金出资"
"87633","李季","13450572997","330213197706206976","196","12%","2016-04-14","现金出资"
"88505","王鑫怡","13327093158","330201198304112000","105","20%","2016-07-13","现金出资"
"88841","张思逸","13725515511","330218198903198016","339","15%","2018-01-31","现金出资"
"89498","徐磊","13739746608","330422198006089024","272","11%","2018-05-30","现金出资"
"89821","金超珍","13152248901","330501197410252992","367","29%","2017-09-04","现金出资"
"89829","黄燕","13613550685","330401199702022976","114","29%","2015-09-18","现金出资"
"89988","王秀红","13804718333","330924198605065024","382","23%","2014-09-17","现金出资"
"90029","赵清锋","13566100430","330617199101211008","111","11%","2017-06-01","现金出资"
"90207","陈艳","13232125265","330310198207214016","164","23%","2016-11-14","现金出资"
"90904","蔡燕","13320293341","330121198405019008","289","19%","2016-12-29","现金出资"
"90918","陈维政","13843926105","330625198311128000","494","11%","2014-11-10","现金出资"
"91085","金海兵","13216840051","330716199306041024","471","12%","2017-01-18","现金出资"
"91152","沈娟","13537909329","330528196911265024","125","29%","2018-06-21","现金出资"
"91681","李士舟","13355008855","330723197504228992","291","18%","2016-11-10","现金出资"
"91697","段海华","13958943604","330211197910025984","430","22%","2017-09-27","现金出资"
"91900","方可","13961300945","330514196912217024","418","20%","2017-03-30","现金出资"
"91936","王文英","13180110859","330811198304052992","439","30%","2015-11-09","现金出资"
"91943","陈利和","13912213685","330923198310267008","271","30%","2016-03-08","现金出资"
"91978","陈君","13911984634","330704198107113984","199","30%","2017-11-02","现金出资"
"93097","张娟","13398555348","330924198110158976","111","24%","2016-06-20","现金出资"
"93277","高竟男","13297667611","330910198703124992","368","27%","2014-10-28","现金出资"
"93594","陈远洋","13867465744","330702199001081984","379","13%","2018-03-15","现金出资"
"94458","郑飞","13757996254","330613198011171968","380","24%","2018-05-21","现金出资"
"96779","沈焕","13968712693","330522198905262976","297","19%","2018-03-05","现金出资"
"97437","吴爱英","13761821857","330908199009011008","272","22%","2018-04-24","现金出资"
"98184","张江帆","13224350819","330710197212094016","230","16%","2018-06-26","现金出资"
"98244","施泽明","13252245111","330926199807155968","174","29%","2015-11-02","现金出资"
