"1","郎昭","男","330101197911209478","浙江省杭州市 ","西泗上村口徽派古建","败血症","2018-04-08","2019-02-14"
"2","花松善","男","330101199203087977","浙江省杭州市 ","十三陵镇永陵村德陵路75号","休克","2018-04-10","2019-04-27"
"3","鲍民","男","330103199207012931","浙江省杭州市 ","新华西街60号院，万达金街A区A3-111","脑水肿和脑疝形成","2019-01-17","2019-05-07"
"4","杜超","男","330110197607123731","浙江省杭州市 ","首都机场路89号5-13","脑干损伤","2018-06-14","2019-05-19"
"5","梁龙","男","330111196911266792","浙江省杭州市 ","草市街与徐尹路交口东北角徐辛庄电子工业技术学校西侧","心肌炎","2019-01-07","2019-05-13"
"6","周梅","女","330111198504055461","浙江省杭州市 ","金宝街东段路北小雅胡同62号","头部爆炸伤","2018-10-02","2019-05-02"
"7","余文","男","330111199004134478","浙江省杭州市 ","安四路黄花城村黄花城水长城旁","心肌病","2018-07-20","2019-05-23"
"8","马家","女","330113198404218687","浙江省杭州市 ","丰台北路20号","冠状动脉血栓形成","2018-03-04","2019-07-05"
"9","冯彪博","女","330115198603269843","浙江省杭州市 ","青春路北口供电局对面","勒颈","2018-07-12","2019-07-08"
"10","钱若鸣","男","330117197201304633","浙江省杭州市 ","二七厂路杜家坎4号院内","脑水肿和脑疝形成","2018-03-23","2019-03-15"
"11","韦荣","女","330118198010194385","浙江省杭州市 ","干二路70号","化脓性脑膜脑炎","2018-07-28","2019-04-04"
"12","孔蓓","女","330118199812213809","浙江省杭州市 ","西半壁店村463号","多发性贯通创","2019-01-27","2019-04-27"
"13","孔行时","女","330121199009275901","浙江省杭州市 ","北四环西路甲二号辽宁大厦三层","断头","2018-11-14","2019-02-23"
"14","凤厚庆","男","330126198012088370","浙江省杭州市 ","东四环泛海国际","脑干损伤","2018-03-13","2019-05-20"
"15","罗时","男","330126199802162551","浙江省杭州市 ","集美家居地下一层","肺炎并发肺脓肿，重度中毒","2018-11-20","2019-03-02"
"16","毕磊民","男","330127197608242096","浙江省杭州市 ","新国展南门对面荣祥商业街800-101号","化脓性脑膜脑炎","2018-12-27","2019-05-10"
"17","范婉娴","男","330128197111195274","浙江省杭州市 ","珠江罗马嘉园57号楼702室","肺炎并发肺脓肿，重度中毒","2018-09-07","2019-04-23"
"18","孙裕","男","330128199711253315","浙江省杭州市 ","林翠路倚林佳园小区内会所餐厅","大血管横断；长时间的缢颈","2018-11-12","2019-04-14"
