"Lester","Valentina","男","1991/4/12","花穿它","16","112239425","2028/7/12","马约特岛 ","科学家","有","旅游","天津天津市","天津天津市津南区双林农场
","2015/12/20","2025/4/2","","15826458823","河南汉威电子股份有限公司"
"Bailey","Ezekiel","女","1998/12/5","戚停唱","30","130272038","2029/10/24","法国 ","工程师","有","工作","河北石家庄市","河北石家庄市新华区天苑街道
","2016/9/28","2025/7/17","","15565914059","丹化化工科技股份有限公司"
"Julie","Caydon","女","1959/6/2","平孩贵","15","132830783","2029/8/15","英国","工程师","无","学习","天津天津市","天津天津市红桥区芥园街道
","2015/2/24","2021/2/26","","14744469391","北京指南针科技发展股份有限公司"
"Lillie","Brea","女","1958/10/1","米男健","14","136580167","2020/11/22","美国","工程师","有","工作","北京北京市","北京北京市昌平区天通苑南街道
","2016/6/27","2013/1/16","","14726116051","顺发恒业股份公司"
"Richard","Emery","男","2002/4/30","郝局定","11","142326468","2029/11/22","圣马丁 ","警察","有","旅游","天津天津市","天津天津市河东区向阳楼街道
","2018/1/19","2013/7/23","","17265203126","江苏通润工具箱柜股份有限公司"
"Talia","Lenny","女","1983/9/1","彭列","20","142673501","2021/3/10","美国","机修工","有","工作","天津天津市","天津天津市东丽区服务滨海新区建设管理委员会
","2015/8/8","2022/10/24","","13173241763","深圳中冠纺织印染股份有限公司"
"Gert","Steph","男","1971/9/19","姜坦","31","144645620","2022/9/12","新西兰 ","护士","有","旅游","天津天津市","天津天津市宝坻区大口屯镇
","2017/10/17","2025/12/23","","17725708184","五矿发展股份有限公司"
"Chelsea","Princess","男","1999/6/27","岑兵弟","16","148677901","2020/1/6","多米尼加共和国 ","律师","无","工作","北京北京市","北京北京市东城区体育馆路街道
","2018/8/23","2020/11/19","","14775543585","鸿基地产集团股份有限公司"
"Laura","Tray","男","2011/8/11","潘谈三","11","151841226","2020/7/23","巴林 ","法官","有","旅游","北京北京市","北京北京市丰台区云岗街道
","2015/1/9","2024/6/8","","18831803313","上海浦东发展银行股份有限公司"
"Muriel","Adrian","男","1982/1/25","贝等恶","06","152935717","2026/9/14","阿根廷 ","警察","有","旅游","河北石家庄市","河北石家庄市灵寿县南燕川乡
","2016/4/23","2024/2/25","","15520086012","四川圣达实业股份有限公司"
"Xanthe","Delphine","男","1980/11/27","章观尔","13","169003831","2029/12/4","伊朗 ","翻译","有","外交","天津天津市","天津天津市蓟县罗庄子镇
","2018/7/30","2021/7/13","","17320216447","安徽星马汽车股份有限公司"
"Luke","Natalie","男","1969/1/17","杨男慢","14","182433273","2022/2/22","福克兰群岛(马尔维纳斯群岛) ","司机","有","旅游","天津天津市","天津天津市河东区春华街道
","2016/8/10","2025/2/24","","14990214789","上海中科合臣股份有限公司"
"Olive","Blaze","男","2004/11/7","潘集油","14","186195525","2025/3/13","蒙特塞拉特 ","机械师","无","学习","天津天津市","天津天津市北辰区天津医药医疗器械工业园
","2015/7/25","2020/12/18","","14937709428","珠海恒基达鑫国际化工仓储股份有限公司"
