"1","柯程程","310713196110197874","金融/证券/期货/投资"
"2","顾军杰","310808198404181821","汽车制造"
"3","童静华","500525198208221130","组装工"
"4","何金雨","610406199309039152","车工"
"5","陈雪芽","511302198507048374","项目经理/主管"
"6","张黎","811407199201101172","多媒体设计"
"7","刘钢涛","360123196302219353","人力资源信息系统专员"
"8","郭斯安","220805196909046548","DJ"
"9","马树鹏","370527199707154403","产品工艺/制程工程师"
"10","梅陈炎","810528197605075650","脚本开发工程师"
"11","黄成","711014198711049680","会务/会展主管"
"12","洪小娟","810522196110279255","飞机机长/副机长"
"13","石静","130120198309246763","物业管理主管"
"14","范珂娜","150723198207125509","临床研究员"
"15","姚锦岳","340713196701198986","废气处理工程师"
"16","钱晓怡","431410197006096007","保险业务经理/主管"
"17","王兴华","410725199607236869","技工普工"
"18","章建萍","431020197109227697","家教"
"19","张昀","140110198101305254","绩效考核专员/助理"
"20","陈海明","811512197805262450","后期制作"
"21","郭静怡","361401197003116433","脚本开发工程师"
"22","江优莉","650223198112234915","物业维修员"
"23","王晓敏","610722197111155888","出版/发行"
"24","苏波","811222196808277967","附件系统工程师"
"25","章梅艺优","541120198501066582","空乘人员"
"26","林达","111708198905254957","物流总监"
"27","陈磊","310428197006233375","电子技术研发工程师"
"28","林均","311424196404249287","吹膜工"
"29","樊秀伟","341702197008316539","销售管理"
"30","储慧涛","371506197212296847","培训产品开发"
"31","吴莹","370808196407262184","金融产品销售"
"32","黄林","610507197702053833","楼面经理"
"33","郑凯","650403199601105259","电池/电源开发"
"34","王伟","651006198011302554","船务/空运陆运操作"
"35","王培静","451121198706224338","签证专员"
"36","强雅娟","350304196810084552","其他"
"37","郑峰","441622198610193473","心理医生"
"38","毛祥明","370624196604163673","医药学术推广"
"39","金光明","331619199305268877","副总经理/副总裁"
"40","任春君","441619198708095224","广告创意/设计主管/专员"
"41","毛晓颖","130404197905148826","药品市场推广主管/专员"
"42","陈建友","510624199107077804","调度员"
"43","俞佳敏","621103196710256172","其他"
"44","黄孝军","131811197301112013","农艺师"
"45","苏波","711810196506163513","经销商"
"46","蔡郑爽","450112199401218706","店长/经理"
"47","楼旭东","610715196205016187","培训督导"
"48","沈晨翔","361821199304264500","砌筑工"
"49","叶广","110804197906039627","汽车销售/经纪人"
"50","柴月锋","710712197203037726","培训"
"51","张黎","710706197701023471","汽车机构工程师"
"52","俞彬彬","651214198306189076","游泳教练"
"53","杨帆","371603195912108548","放射科医师"
"54","陈娟","370325197301308446","汽车装配工艺工程师"
"55","孙凡","140510199007152586","绩效考核专员/助理"
"56","陶毅杰","321416196903032831","技术支持/维护工程师"
"57","施园园","511425198507262019","买手"
"58","林斌斌","451825198307279101","销售代表"
"59","徐海霞","810405198307033289","会计经理/会计主管"
"60","章青","630317198108224789","房地产销售与中介"
