"1","贝蓓","女","汉族","2012-02-14","371508201202144449","山东省聊城市东昌府区","雍和宫青龙胡同育树三条8号","小儿麻痹","轻度残疾","否","亲戚抚养","上学","金华市婺城区实验小学","安朋斌","501102199108056535","雍和宫青龙胡同育树三条8号","15607940494","薛健世","15607940494","宁波市奉化区久多有限公司","总经理","2018-09-28","每月帮扶"
"2","袁惠珠","男","汉族","2015-04-17","810725201504179719","新疆维吾尔族自治区石河子市","松曹路","小儿麻痹","重度残疾","否","双亲抚养","打工","衢州市柯城区实验小学","尤固之","510912197802066090","松曹路","15203585829","郑固之","15203585829","宁波市鄞州区皇贵有限公司","画家","2019-01-05","每天帮扶"
"3","戚顺","男","汉族","2008-07-06","611621200807065878","陕西省汉中市佛坪县","万达广场负一层家乐福出口处","智力低下","中度残疾","否","祖父母抚养","打工","台州市仙居县实验小学","吕德","510719197612161381","万达广场负一层家乐福出口处","13001172728","毛星","13001172728","金华市磐安县乾广有限公司","老师","2018-03-31","每年帮扶"
"4","康敬震","女","苗族","2008-06-06","141404200806067361","山西省晋城市怀仁县","岭南路36号广东大厦1-3楼","失聪","轻度残疾","是","单亲抚养","打工","金华市婺城区实验小学","倪斌","350123198805067021","岭南路36号广东大厦1-3楼","15800521580","汪宁欣","15800521580","宁波市海曙区东昌有限公司","司机","2018-11-14","每月帮扶"
"5","袁群豪","女","汉族","2013-03-30","630610201303304104","青海省西宁市大通回族土族自治县","青东商务区青竹宾馆一楼","脑瘫","轻度残疾","是","亲戚抚养","上学","台州市黄岩区实验小学","臧诚先","321722199006178193","青东商务区青竹宾馆一楼","15001843213","韩志","15001843213","杭州市西湖区长隆有限公司","作家","2018-04-05","每天帮扶"
"6","常天","男","汉族","2010-10-26","651410201010263238","新疆维吾尔族自治区克拉玛依市乌尔禾区","回龙观镇龙域南街12号院1号楼105室","残疾","中度残疾","否","祖父母抚养","上学","杭州市上城区实验小学","雷昭","140311199009201156","回龙观镇龙域南街12号院1号楼105室","13107280367","任冰爽","13107280367","宁波市象山县德高有限公司","画家","2018-11-13","每年帮扶"
"7","伍俊峰","男","汉族","2008-02-10","621515200802105258","甘肃省天水市张家川回族自治县","天星街1号院绿地缤纷城3层","智力低下","轻度残疾","否","亲戚抚养","打工","温州市龙湾区实验小学","魏涛","371419199310196226","天星街1号院绿地缤纷城3层","13904762995","窦荔","13904762995","杭州市临安区乾广有限公司","厨师","2018-09-29","每月帮扶"
"8","毛琦","女","汉族","2010-07-26","521310201007265860","贵州省遵义市仁怀市","广安门外大街红居街远见名苑4号楼底商","脑瘫","中度残疾","否","单亲抚养","上学","杭州市江干区实验小学","杨善","141223197911042003","广安门外大街红居街远见名苑4号楼底商","13106444347","曹飞彬","13106444347","宁波市鄞州区长福有限公司","司机","2018-12-07","每月帮扶"
"9","尹苑","男","汉族","2010-07-31","110125201007319658","北京市顺义区","慧忠北里309号楼天创世缘A座1-3楼","小儿麻痹","重度残疾","是","单亲抚养","上学","潮州市安吉县实验小学","金岩中","140317198005256655","慧忠北里309号楼天创世缘A座1-3楼","13705303203","姚振壮","13705303203","温州市苍南县欣丰有限公司","总经理","2018-04-08","每月帮扶"
"10","郑承乐","男","汉族","2008-01-30","410905200801301716","河南省濮阳市市区","八里庄慈云寺1号院东区国际3号楼C座3A07","脑瘫","中度残疾","否","单亲抚养","打工","嘉兴市嘉善县实验小学","柏滢馥","441406198012147196","八里庄慈云寺1号院东区国际3号楼C座3A07","15503752732","姜希","15503752732","衢州市衢江区德高有限公司","律师","2018-07-22","每天帮扶"
"11","汤裕","女","汉族","2014-03-28","511819201403282521","四川省广安市华蓥市","张坊镇大峪沟村九区23号","小儿麻痹","中度残疾","是","单亲抚养","上学","台州市天台县实验小学","袁琰","631207198803064475","张坊镇大峪沟村九区23号","13306508562","鲁翰","13306508562","绍兴市新昌县皇贵有限公司","作家","2018-04-16","每天帮扶"
"12","魏敬震","男","汉族","2010-03-09","461619201003091693","海南省三亚市市辖区","西四南大街65号","小儿麻痹","轻度残疾","否","亲戚抚养","上学","宁波市江北区实验小学","章敬震","650816197908202415","西四南大街65号","15804947409","许倩","15804947409","杭州市桐庐县春信有限公司","总经理","2018-11-25","每天帮扶"
"13","俞胜","女","回族","2014-04-27","370702201404273520","山东省潍坊市潍城区","闹市口大街35号","肺炎","重度残疾","否","亲戚抚养","上学","潮州市长兴县实验小学","穆琬茗","640316198205264585","闹市口大街35号","13007023668","邬融","13007023668","杭州市西湖区乾富有限公司","老师","2018-09-24","每月帮扶"
"14","卞强军","女","汉族","2012-07-30","371718201207305603","山东省聊城市临清市","苏家坨镇西埠头村","失聪","轻度残疾","是","单亲抚养","打工","温州市苍南县实验小学","吴萍红","540402197808255735","苏家坨镇西埠头村","13002623027","阮东文","13002623027","嘉兴市嘉善县耀顺有限公司","画家","2018-07-10","每月帮扶"
"15","臧昭","女","汉族","2008-04-28","371625200804285040","山东省聊城市临清市","韩村河镇下中院村玉珠谷","佝偻病","中度残疾","否","双亲抚养","上学","衢州市龙游县实验小学","梁旭","611802198610156084","韩村河镇下中院村玉珠谷","15205778348","时乐","15205778348","绍兴市越城区鑫德有限公司","警察","2018-11-23","每天帮扶"
"16","萧中","女","汉族","2011-09-01","131624201109011380","河北省衡水市深州市","苹果园大街琅山苗圃36号","小儿麻痹","重度残疾","否","单亲抚养","打工","宁波市宁海县实验小学","钱保","460928199002231566","苹果园大街琅山苗圃36号","13101664389","俞策腾","13101664389","金华市金东区聚兴有限公司","企业老板","2018-05-28","每年帮扶"
"17","熊黛","女","汉族","2010-06-11","630202201006113180","青海省西宁市大通回族土族自治县","清水镇清水村西南街73号","聋哑","轻度残疾","否","双亲抚养","打工","绍兴市柯桥区实验小学","和宏言","110503198609244169","清水镇清水村西南街73号","13206006072","郎泽","13206006072","温州市龙湾区华飞有限公司","厨师","2018-04-21","每天帮扶"
"18","常飘育","男","苗族","2015-07-18","440317201507183834","广东省深圳市盐田区","万达广场","小儿麻痹","重度残疾","否","亲戚抚养","打工","杭州市富阳区实验小学","马功","111618198311201132","万达广场","15305406675","禹纨仪","15305406675","嘉兴市秀洲区春信有限公司","作家","2018-03-08","每月帮扶"
"19","宋龙","男","汉族","2009-05-15","231211200905157132","黑龙江省黑河市五大连池市","永外果园8号欣雅汇生活广场5层","小儿麻痹","中度残疾","否","亲戚抚养","打工","宁波市象山县实验小学","贝善","110908198805104492","永外果园8号欣雅汇生活广场5层","15008566585","昌时","15008566585","杭州市上城区公盈有限公司","总经理","2018-09-15","每天帮扶"
"20","尤真环","男","汉族","2011-07-10","140528201107108676","山西省晋城市泽州县","上地华联4层","失聪","重度残疾","否","单亲抚养","打工","绍兴市柯桥区实验小学","秦艳","651717198112118569","上地华联4层","15804180247","庞平保","15804180247","宁波市鄞州区同福有限公司","企业老板","2018-11-17","每年帮扶"
"21","任辉力","女","回族","2015-05-10","810920201505103164","新疆维吾尔族自治区石河子市","十三陵昌赤路胡庄村皇家艺苑北200米","脑瘫","轻度残疾","否","亲戚抚养","上学","绍兴市越城区实验小学","蒋姬舒","810927198709088465","十三陵昌赤路胡庄村皇家艺苑北200米","15605090559","杨婵","15605090559","绍兴市上虞区东昌有限公司","歌手","2018-08-05","每月帮扶"
"22","闵红","男","汉族","2010-03-05","311812201003055656","上海市崇明县","护国寺大街67-69号","佝偻病","轻度残疾","是","亲戚抚养","上学","金华市金东区实验小学","蒋时","650821198511138198","护国寺大街67-69号","15703534794","费磊民","15703534794","潮州市吴兴区正禄如通有限公司","厨师","2018-08-21","每年帮扶"
"23","成毓","女","汉族","2015-02-01","120811201502015241","天津市蓟县","圆明园东门","脑瘫","中度残疾","否","祖父母抚养","打工","金华市磐安县实验小学","安影荔","341823198207134114","圆明园东门","13806895347","康全","13806895347","台州市椒江区德高有限公司","警察","2018-12-22","每年帮扶"
"24","苗妹","男","苗族","2009-06-21","110113200906218691","北京市顺义区","牡丹园东街甲12号","智力低下","重度残疾","否","祖父母抚养","上学","杭州市江干区实验小学","庞克伦","511613197809204220","牡丹园东街甲12号","15502002371","傅言","15502002371","金华市金东区耀顺有限公司","会计","2019-01-04","每年帮扶"
"25","云天","男","汉族","2015-01-09","710705201501092118","新疆维吾尔族自治区石河子市","裕安路16号巨鸿大厦B座对面","佝偻病","重度残疾","否","祖父母抚养","上学","杭州市拱墅区实验小学","贝和","140205198604018443","裕安路16号巨鸿大厦B座对面","15704604540","倪君琴","15704604540","杭州市萧山区久协有限公司","企业老板","2018-06-27","每天帮扶"
"26","屈朋斌","女","汉族","2014-12-13","371502201412136520","山东省聊城市东昌府区","东三旗回南路邮局向东450米","脑瘫","轻度残疾","否","亲戚抚养","打工","台州市仙居县实验小学","喻子","510825197911194094","东三旗回南路邮局向东450米","13601095505","鲍裕","13601095505","杭州市上城区万康有限公司","工程师","2018-04-18","每月帮扶"
