"1","吴玉英","男","151115197110234964","1971-10-23","硕士研究生","调解员","宝龙街道人民调解委员会驻同乐派出所工作室","15863393098"
"2","杨燕","男","421724199608169572","1996-08-16","硕士研究生","调解员","南联居民委员会人民调解委员会","14501244852"
"3","丁柳","男","651628197607046785","1976-07-04","专科","副主任","明月社区人民调解委员会祥韵苑调解小组","18885866048"
"4","周波","男","330811198209018287","1982-09-01","硕士研究生","副主任","狮岭社区人民调解委员会鲁班大厦小区调解小组","18829052858"
"5","陈丹","男","651719197509175428","1975-09-17","本科","副主任","和一社区居民委员会人民调解委员会","18299764926"
"6","吴柳","女","621812199204072388","1992-04-07","本科","调解员","清华社区工作站人民调解委员会","15705436645"
"7","胡华","男","330403198104237916","1981-04-23","本科","主任","丽湖社区人民调解委员会","15335807590"
"8","张丽华","男","431114199607213538","1996-07-21","硕士研究生","调解员","海滨社区人民调解委员会余彭年物业调解小组","13255169734"
"9","李旭","男","330420198105147920","1981-05-14","专科","调解员","狮岭社区人民调解委员会鲁班大厦小区调解小组","15684377510"
"10","张丹丹","男","411613197301304129","1973-01-30","博士研究生","主任","海滨社区人民调解委员会朝恒大厦调解小组","15037653890"
"11","林玉珍","女","121814197111177586","1971-11-17","本科","调解员","下早社区居委会人民调解委员会","15976860983"
"12","陈敏","男","121127198307118267","1983-07-11","本科","副主任","香梅社区人民调解委员会嘉园调解小组","15844179424"
"13","纪雪梅","女","141606198205134569","1982-05-13","博士研究生","副主任","公明办事处人民调解委员会","18546554536"
"14","谢丽","男","710221198606062292","1986-06-06","博士研究生","主任","福海街道人民调解委会驻福永法庭工作室","13721897693"
"15","滕淑英","女","231206197109289916","1971-09-28","本科","副主任","龙华区婚姻家庭纠纷人民调解委员会驻桂花社区妇联工作室","13591519222"
"16","马博","男","460824198503129858","1985-03-12","硕士研究生","副主任","福保社区人民调解委员会新桂花村、边检、海关管理处调解小组","18606811088"
"17","萧丹","女","451622199203074812","1992-03-07","硕士研究生","副主任","桂园街道人民桥社区居委会人民调解委员会","18776283641"
"18","王秀梅","女","621516197906153262","1979-06-15","专科","调解员","福永街道人民调解委员会","18164633780"
"19","张飞","男","710611198705184578","1987-05-18","硕士研究生","调解员","鹏盛社区人民调解委员会鹏基三区调解小组","13660165354"
