"1","童娜","女","710508199101288761","1991-01-28","硕士研究生","司法辅警","台州市高远法律服务所","15291959948"
"2","白雷","男","321722199308081304","1993-08-08","硕士研究生","副所长","杭州市四海法律服务所","18816178931"
"3","贾兵","女","320819197411082327","1974-11-08","博士研究生","司法辅警","玉环市海天法律服务所","18815903942"
"4","程建国","男","710615199401157454","1994-01-15","博士研究生","副所长","台州市三甲法律服务所","15899380706"
"5","陈玉","女","521501199509298858","1995-09-29","本科","副所长","温岭市城西法律服务所","13927861633"
"6","陶雪","男","411009197505276661","1975-05-27","本科","所长","永康市经济法律服务所","13606262346"
"7","王静","女","411216198312227171","1983-12-22","专科","司法辅警","龙泉市剑川法律服务所","18065940232"
"8","汪秀英","男","411610198604074660","1986-04-07","专科","司法辅警","诸暨市城区法律服务所","13764964489"
"9","钟静","女","610620199510117226","1995-10-11","博士研究生","所长","宁波市开成法律服务所","18057145034"
"10","王建国","女","460826199406181763","1994-06-18","本科","司法助理员","岱山县蓬莱法律服务所","18113575186"
"11","邹婷","女","211706197708243812","1977-08-24","本科","司法辅警","玉环市海天法律服务所","15934918371"
"12","刘丹丹","男","370315199409202430","1994-09-20","博士研究生","所长","台州市维宁法律服务所","13362219233"
"13","翁英","女","130805198207127643","1982-07-12","专科","专职人民调解员","台州市求正法律服务所","13312840813"
"14","迟杰","男","511510197706199242","1977-06-19","博士研究生","专职人民调解员","温州市中南法律服务所","13226310018"
"15","李红霞","男","310313198702187987","1987-02-18","博士研究生","司法辅警","台州市东南法律服务所","15920460475"
"16","赵辉","男","710804198010249402","1980-10-24","专科","司法辅警","杭州市三和法律服务所","13025302708"
"17","赵欢","女","610509197704304251","1977-04-30","专科","专职人民调解员","台州市金清法律服务所","14535297121"
"18","黄莉","男","360310198004293509","1980-04-29","硕士研究生","司法辅警","嘉兴市湖滨法律服务所","15382294245"
"19","江霞","女","610523197710194212","1977-10-19","博士研究生","司法辅警","慈溪市邦达法律服务所","13661952431"
"20","费旭","女","651301197309228020","1973-09-22","硕士研究生","专职人民调解员","诸暨市暨阳法律服务所","15329485552"
"21","康秀珍","女","410128198006188841","1980-06-18","博士研究生","司法助理员","宁波市为民法律服务所","18807250200"
"22","李磊","男","110701199004027191","1990-04-02","本科","司法助理员","宁波市曙光法律服务所","18829479886"
"23","吴娜","男","210902198902209763","1989-02-20","博士研究生","专职人民调解员","台州市桔乡法律服务所","15234032710"
"24","曹杰","女","460420199104232255","1991-04-23","博士研究生","司法助理员","宁波市朝阳法律服务所","18145109934"
"25","李凯","男","811210198509128531","1985-09-12","本科","司法辅警","瑞安市新世纪法律服务所","13512859072"
"26","苏瑜","男","371613199303266874","1993-03-26","博士研究生","所长","安吉县递铺法律服务所","13566570941"
"27","何倩","男","141706197212049034","1972-12-04","专科","司法助理员","宁波市姚北法律服务所","14512747241"
"28","李淑珍","女","311203198307104213","1983-07-10","硕士研究生","司法助理员","绍兴市振兴法律服务所","13888984276"
"29","胡桂芳","男","321016197503151702","1975-03-15","硕士研究生","专职人民调解员","开化县钱江源法律服务所","18018569397"
"30","杨红","女","411214199705156845","1997-05-15","博士研究生","所长","玉环市坎门法律服务所","13951100533"
"31","李建国","女","331507199105274545","1991-05-27","硕士研究生","副所长","玉环市海天法律服务所","13522958584"
