"1","杜姣","710219199505118204","杨泽","230722197602255263","个人所得税","利息、股息、红利所得","零散税收","2012-01-23","郝茂","2010-01-23","1970-01-15","地税局","南平市税务局"
"2","裴浩全","521815197505083354","余哲强","650715197212204345","资源税","金属矿","行为罚款","2014-01-22","贝以","2009-01-23","1970-01-15","物价局","惠州市税务局"
"3","龚姣","711725198201176529","韩磊","421019199401274256","营业税","建筑业","提退税款","2005-10-28","侯政雄","2000-10-29","1970-01-11","房产局","吉安市税务局"
"4","王飞子","131314199111059875","娄奇河","350315197811165797","营业税","销售不动产","查补税款","2013-06-30","谭琦","2010-07-01","1970-01-15","国税局","唐山市税务局"
"5","段婵","231623199202264265","王旭","420711198502134656","契税","土地使用权转让","提退税款","2007-12-04","孙瑞素","2005-12-04","1970-01-14","房产局","邯郸市税务局"
"6","阮舒","451122197311245866","杜星","520608198609133828","车船税","商用车客车","查补税款","2007-07-22","申振才","2002-07-23","1970-01-12","物价局","嘉兴市税务局"
"7","杨荣","361122198712158133","邱亨","711501199506113828","个人所得税","稿酬所得","预收税款","2004-09-15","颜世","1999-09-17","1970-01-12","土地局","南平市税务局"
"8","江良","650726197012238932","殷琛鹏","220326198005044361","资源税","原油","提退税款","2012-02-19","闵霭媛","2009-02-19","1970-01-15","地税局","福州市税务局"
"9","尹国","350624198501028300","甘瑞君","461303197208218472","契税","土地使用权转让","预收税款","2005-02-19","许学","2003-02-20","1970-01-13","房产局","三门峡市税务局"
"10","成莲","541309197103179477","孔岚","210626197205129083","个人所得税","财产转让所得","一般申报","2004-07-26","鲁栋","2000-07-27","1970-01-12","物价局","潍坊市税务局"
"11","杨星冠","421124197905298873","席俊","131603198306053093","资源税","原油","提退税款","2010-01-22","邓霭华","2008-01-23","1970-01-14","工商局","荆州市税务局"
"12","童莺","530812197001105278","魏雄","230101197002078684","契税","土地使用权转让","提退税款","2005-12-31","屈艳荷","2004-01-01","1970-01-13","公安局","赣州市税务局"
"13","乔河良","321203198609095310","孟中","371222197411158727","个人所得税","稿酬所得","查补税款","2012-03-03","庞翰全","2008-03-04","1970-01-14","国税局","庆阳市税务局"
"14","葛飘","810717198010108909","钟克旭","131422198111284852","个人所得税","特权使用费所得","一般申报","2009-08-11","安子志","2006-08-12","1970-01-14","技监局","双鸭山市税务局"
"15","陆莎","531608199005086653","孟哲学","351607198509053715","营业税","服务业","一般申报","2006-11-28","杜克","2002-11-29","1970-01-13","公安局","岳阳市税务局"
"16","程晓秀","450528198309217670","贾黛霭","500316199709157467","资源税","原油","预收税款","2006-03-06","莫怡枫","2001-03-07","1970-01-12","国税局","新乡市税务局"
"17","葛乐","120408198707306619","魏功","221617199512215758","营业税","销售不动产","行为罚款","2006-04-08","邓莉梦","2004-04-08","1970-01-13","物价局","伊春市税务局"
"18","马婵","131325199311034104","路勇家","410604199711074740","契税","国有土地使用权出让","零散税收","2005-07-21","鲍成波","1999-07-23","1970-01-11","国税局","揭阳市税务局"
"19","白彩晓","440723198509134870","孙丹","121812198612218142","车船税","商用车货车","查补税款","2010-04-12","戴梅","2006-04-13","1970-01-13","教育局","大庆市税务局"
"20","穆巧","361401197512096807","舒顺","411824198509211990","城建税","营业税","查补税款","2005-07-29","邢琴飘","2003-07-30","1970-01-13","工商局","广州市税务局"
"21","狄士","371417198005138355","罗竹","131206197507273869","车船税","其他车辆","行为罚款","2005-08-14","田顺","2000-08-15","1970-01-12","土地局","杭州市税务局"
"22","杜佳","510423199902055546","孔勤","410204198902256234","房产税","租金收入","零散税收","2012-01-16","包东","2009-01-16","1970-01-15","土地局","通化市税务局"
"23","薛和","221109199409245684","姜邦","460404197312104798","个人所得税","经营所得","提退税款","2006-12-11","崔露","2000-12-12","1970-01-12","公安局","广州市税务局"
"24","孔育瑞","500218198303287364","鲁凝","320117197604103575","房产税","租金收入","预收税款","2008-05-12","童豪发","2003-05-14","1970-01-13","国税局","太原市税务局"
"25","卜致克","531006197408278907","林功","461718199710116440","个人所得税","经营所得","预收税款","2013-08-16","江茂","2009-08-17","1970-01-15","地税局","三亚市税务局"
