"湛江超","110204201703226396","东直门外大街42号三层","亲属供养","父母事故双亡","毕勇毅","伯父","良好","四级伤残","循环系统疾病","M074937302388","三类","2019-06-15"
"苗伊亚","110214200504065400","旧宫镇东营房车站马路东侧","亲属供养","父母事故双亡","卞娣叶","嫂嫂","良好","八级伤残","呼吸系统疾病","M046250459273","二类","2019-05-16"
"熊栋","110605200605141927","东打磨厂街3号","亲属供养","父母事故双亡","邹燕彩","姨母","良好","十级伤残","运动系统疾病","A052019851530","三类","2019-04-17"
"成维启","110813200707087067","云岗路150号","亲属供养","父母事故双亡","韩健世","叔叔","良好","五级伤残","泌尿系统疾病","K001536549760","二类","2019-05-29"
"褚庆","111228200108097124","昌平西关北路北侧西关商贸楼7号","亲属供养","父母事故双亡","于心邦","舅舅","良好","九级伤残","呼吸系统疾病","A005167670256","一类","2019-05-06"
"费贵福","120101200907033627","顺一条8号","亲属供养","父母事故双亡","章娴","姨母","良好","一级伤残","消化系统疾病","O073959908529","二类","2019-04-07"
"雷香","120315200709067855","安苑路与惠新北街交叉口西北角惠新北里3号楼","亲属供养","父母事故双亡","雷胜","舅舅","良好","四级伤残","呼吸系统疾病","J006455898521","一类","2019-06-04"
"时朋斌","120801201311198936","朝凤路243号","亲属供养","父母事故双亡","祝新","哥哥","良好","七级伤残","其他疾病","O044956548519","一类","2019-05-22"
"秦亚","120909201108062748","鲁谷路台湾街2号","亲属供养","父母事故双亡","康艳","舅母","良好","七级伤残","神经系统疾病","J019468871689","一类","2019-03-09"
"米蓓","121107201701264893","方式渠路与昌金路交叉口西50米","亲属供养","父母事故双亡","蓝婉娴","姨母","良好","八级伤残","循环系统疾病","B085413039463","一类","2019-04-26"
"韦之","121115200605267597","光华路15号伯豪瑞廷3层","亲属供养","父母事故双亡","董河哲","叔叔","良好","四级伤残","神经系统疾病","I091550147318","三类","2019-03-06"
"柳彩","121220200408222137","清华西路28号圆明园小南园","亲属供养","父母事故双亡","熊薇","婶婶","良好","七级伤残","内分泌系统疾病","M091125897680","二类","2019-05-09"
"毛刚","121410201805244247","东四南大街111号","亲属供养","父母事故双亡","雷枝思","嫂嫂","良好","四级伤残","呼吸系统疾病","H082795975438","三类","2019-05-12"
"柳厚庆","130409200805311297","中绦胡同甲2号","亲属供养","父母事故双亡","尤荷丹","伯母","良好","一级伤残","其他疾病","Q032352167181","三类","2019-03-19"
"戚奇","130424200712226581","北海公园北门内九龙壁前","亲属供养","父母事故双亡","席进","哥哥","良好","七级伤残","泌尿系统疾病","H058500377469","二类","2019-03-14"
"陈菲寒","130821200412262345","双榆树北路59-1号楼","亲属供养","父母事故双亡","曹栋","伯父","良好","七级伤残","内分泌系统疾病","Q027467691463","一类","2019-04-30"
"薛坚和","130905201202235024","西田各庄镇牛盆峪村村北200米","亲属供养","父母事故双亡","窦岚苑","舅母","良好","六级伤残","泌尿系统疾病","R047641934472","二类","2019-06-13"
"韩振壮","131010200811055401","光机电一体化产业基地嘉创路十号","亲属供养","父母事故双亡","杜政谦","叔叔","良好","六级伤残","神经系统疾病","L006190509509","一类","2019-05-07"
