"水健世","110126199504032448","专科","广州公本利贸易有限公司","低级计算机检验员","低级","计算机检验员","北京安生建筑装饰工程有限公司","2019-06-05","Q042995996693","电子信息大类","三类"
"祝云莲","110417199805218435","硕士研究生","天津亨本同咨询管理有限责任公司","中级计算机检验员","中级","计算机检验员","杭州元宝汇咨询管理有限责任公司","2019-05-23","E034199707784","教育与体育大类","三类"
"宋富顺","111125199607133258","专科","上海东裕土石方工程有限公司","高级音视频设备检验员","高级","音视频设备检验员","厦门利台科技有限公司","2019-05-17","L039636705744","电子信息大类","一类"
"马雄琛","111212199705104351","本科","上海亨浩建筑产业集团有限公司","中级音视频设备检验员","中级","音视频设备检验员","沈阳圣优弘集团股份有限公司","2019-05-17","L018853201573","教育与体育大类","二类"
"屈斌","111603199503175166","硕士研究生","重庆昌晶美咨询管理有限责任公司","低级音视频设备检验员","低级","音视频设备检验员","深圳飞义高科技有限公司","2019-05-04","A056188746929","文化艺术大类","四类"
"戴民","111721199510019085","博士研究生","深圳宏鑫物业管理有限公司","低级计算机检验员","低级","计算机检验员","北京捷国国际工程技术有限公司","2019-06-05","L083306190879","土木建筑大类","五类"
"孙群豪","111823199703168577","博士研究生","天津成同建筑产业集团有限公司","低级电子元器件检验员","低级","电子元器件检验员","大连洪源环境建设股份有限公司","2019-05-23","C069513781459","食品药品与粮食大类","三类"
"倪鹏泽","111825199410246624","博士研究生","北京福富巨环境建设股份有限公司","低级电子元器件检验员","低级","电子元器件检验员","大连洪庆建筑装饰工程有限公司","2019-05-15","G075071581917","医药卫生大类","三类"
"戴韵融","120317199603306998","专科","上海裕茂贸易有限公司","中级计算机软件产品检验员","中级","计算机软件产品检验员","重庆丰鼎吉房产经纪有限公司","2019-03-29","D025609727991","电子信息大类","四类"
"唐荔","120412199502247629","硕士研究生","上海成同国际工程技术有限公司","低级音视频设备检验员","低级","音视频设备检验员","南京全信咨询管理有限责任公司","2019-06-06","E062410857443","轻工纺织大类","五类"
"顾朋斌","120701199702027157","本科","广州富金春环境建设股份有限公司","高级音视频设备检验员","高级","音视频设备检验员","厦门如源汇房地产开发有限公司","2019-06-22","K092157529812","教育与体育大类","五类"
"花新","120719199502128488","本科","深圳凯汇多贸易有限公司","高级音视频设备检验员","高级","音视频设备检验员","南京永吉耀国际工程技术有限公司","2019-03-09","M090170514008","食品药品与粮食大类","五类"
"傅枫芸","120810199610241111","硕士研究生","天津弘富计装饰工程有限责任公司","中级电子元器件检验员","中级","电子元器件检验员","上海干通亨环境建设股份有限公司","2019-04-17","R064546125207","公安与司法大类","三类"
"邹诚先","120814199412087088","博士研究生","杭州康宏土石方工程有限公司","低级计算机软件产品检验员","低级","计算机软件产品检验员","重庆公义股份有限公司","2019-04-30","S034430904839","财经商贸大类","五类"
"明翠雅","120911199408125413","硕士研究生","沈阳源进房地产开发有限公司","中级音视频设备检验员","中级","音视频设备检验员","济南通浩贸易有限公司","2019-03-22","B078313074796","新闻传播大类","三类"
"薛康星","121317199610138353","博士研究生","济南弘富咨询管理有限责任公司","低级音视频设备检验员","低级","音视频设备检验员","成都康百通计装饰工程有限责任公司","2019-04-21","L054617969014","农林牧渔大类","五类"
"吕枫芸","130426199511072809","专科","厦门裕茂计装饰工程有限责任公司","低级计算机检验员","低级","计算机检验员","重庆洪庆咨询管理有限责任公司","2019-05-01","A020377857430","医药卫生大类","四类"
"康岩中","130503199503275389","本科","北京利庆优建筑产业集团有限公司","中级电子元器件检验员","中级","电子元器件检验员","天津干裕房地产开发有限公司","2019-06-28","Q044159419895","轻工纺织大类","一类"
