"毕民","110218197503066646","宁武镇","蒲方路18号","因公牺牲军人遗属","0218","二类","待优抚","E033161003432","因战五级"
"史海","110527199607056114","新江镇","万达金街A3-118","病故军人遗属","0527","一类","待优抚","F047982486595","因公八级"
"姜磊民","111124197901068921","布泉乡","磁器口大街71号","因公牺牲军人遗属","1124","一类","优抚中","S036432636929","因病一级"
"奚海","111313197603079847","垵口乡","开放路劳动大厦东100米","残疾军人","1313","一类","待优抚","C027459785313","因公七级"
"张辉力","111620198708181132","都结乡","马家堡西路11号","伤残民兵民工","1620","三类","优抚中","Q087242523807","因战四级"
"蒋顺","111806199507239925","都结乡","东长安街33号北京饭店C座7楼","参战及参加核试验部队退役人员","1806","一类","待优抚","G011087782310","因战六级"
"史枫芸","120201197109152819","阿得博乡","永外路果园8号合生广场4层","红军失散人员","0201","二类","优抚中","H094648796227","因病三级"
"贺茜秋","120307199007057511","城厢镇","工人体育场东路20号春平购物广场底商1层","红军失散人员","0307","一类","优抚中","I005908459652","因战九级"
"鲁安","130109198606278702","甪直镇","南锣鼓巷菊儿胡同105号","部分年满60周岁烈士子女","0109","三类","待优抚","D027764699282","因公八级"
"姚岚苑","130212197411195336","阿得博乡","宋庄镇小堡村北街18号","因公牺牲军人遗属","0212","三类","待优抚","Q078625665454","因病十级"
"顾华","130928197010068013","洺州镇","北太平庄路25号17栋豪威大厦B座首层","带病回乡退伍军人","0928","三类","优抚中","J063118041163","因病二级"
"安涛","131009197505064560","瀼河乡","广安门外南滨河路87号","红军失散人员","1009","二类","优抚中","H084115063847","因病二级"
"彭伯","131020197811043641","新江镇","知春路城铁站对面","伤残国家机关工作人员","1020","一类","优抚中","Q048272806617","因战十级"
"孟寒","131028197307076261","澥浦镇","古北口镇河西村后街99号","在乡西路军红军老战士","1028","一类","优抚中","F083436359329","因病一级"
"章利清","131112197203227588","都结乡","鲁谷南路半月园公园西侧","老复员军人","1112","一类","优抚中","H053656125619","因公六级"
"戚振壮","131718199105122991","屏山乡","武圣路松榆西里6号楼","残疾军人","1718","一类","优抚中","R055251507533","因公三级"
"华先","131804198412056376","百济乡","金宝街88号金宝汇购物中心5楼","伤残国家机关工作人员","1804","一类","优抚中","G061273396425","因公七级"
"花兰凤","140915198701318922","浛洸镇","赵公口光彩慧时欣园10号楼","在乡西路军红军老战士","0915","一类","优抚中","N044688165416","因病三级"
"于炎德","140925197210284269","阿坝镇","通胡大街48号","烈士遗属","0925","一类","优抚中","C069973798512","因战七级"
"花娟","141504197704114893","太平镇","花家地小区水源五厂40号","在乡西路军红军老战士","1504","一类","待优抚","M078790534785","因战一级"
"奚瑗琰","141607197103183336","汫洲镇","前门大街30号","在乡西路军红军老战士","1607","一类","优抚中","Q070560832449","因战三级"
"吴炎德","141720197304106009","宁武镇","鲁谷路台湾街2号","部分年满60周岁烈士子女","1720","三类","待优抚","L081711268128","因战四级"
"杜绍功","150128199710021086","乔建镇","建国门外大街1号国贸商城北区NL5001+L5002","老复员军人","0128","三类","优抚中","P006424442122","因病五级"
"蓝婕馨","151202197802036908","涴市镇","工体北路13号世茂广场·工三4层","伤残国家机关工作人员","1202","二类","待优抚","F092541977739","因病二级"
"熊庆","151227197010052617","浛洸镇","松曹路","带病回乡退伍军人","1227","一类","优抚中","P038075817324","因战四级"
"柳亮","210721199103074615","布泉乡","狼垡一村一条北口","在乡退伍红军老战士","0721","一类","待优抚","D008900066048","因病十级"
"阮可","210818198805121736","濛阳镇","望京soho塔1B1楼底商","部分年满60周岁烈士子女","0818","三类","待优抚","I018030677017","因病二级"
"何莲","211314197205097336","垵口乡","南三环东路刘家窑地铁B口往东200米天创胜芳中心一层底商","在乡西路军红军老战士","1314","二类","待优抚","Q042882065476","因战一级"
"罗光天","211601197610178870","阿都乡","严正街16-2号国广公寓","红军失散人员","1601","三类","待优抚","N067522546659","因病二级"
"钱羽希","211611197408163117","浰源镇","月坛西街1号","伤残民兵民工","1611","一类","待优抚","C078288817406","因公七级"
"祝慧巧","211621197411192361","那桐镇","西牛角胡同1号","伤残国家机关工作人员","1621","三类","待优抚","N046225473155","因战二级"
"汪成","220102197412039812","双桥镇","富生路10号","红军失散人员","0102","三类","待优抚","D006961817276","因战九级"
